query,query_intent,predicted_intent,historical_customer_message,historical_response,similarity,evidence_quality_score,problem_match_score,problem_match_reason,entity_overlap,entity_mismatch,issue_mismatch,evidence_relevance_score,final_score,accepted,relevance_reason
@AppleSupport @115850 7/n the person asked me to deposit my device for 4-5days to service the device on heating issue. This is 2017 AD and not BC.,device_hardware,device_hardware,@AppleSupport Heating issue while using.. iPhone X please help,"@754817 We can definitely partner with you on this. Give us a bit more detail in DM on what you’re noticing, and we’ll work towards a resolution together. https://t.co/GDrqU22YpT",0.15878171646633846,0.68,0.15,unrelated problem and divergent domain,[],False,True,0.0952,0.15192720523869957,False,intent mismatch + problem: unrelated problem and divergent domain + PENALTY: issue mismatch + rejected: issue mismatch
@AppleSupport @115850 7/n the person asked me to deposit my device for 4-5days to service the device on heating issue. This is 2017 AD and not BC.,device_hardware,device_hardware,"@AppleSupport Team,
This is ridiculous, even after waiting for almost 5days still my device im not received from the service centre. https://t.co/8Y1Xh7aTlM","@788828 Thank you for reaching out to us.  Since the Apple Authorized Service Provider is working on your service request, we would advise making contact with them, as they will have the most updated information on your iPhone. DM us any further concerns: https://t.co/GDrqU22YpT",0.16657680198390132,0.68,0.15,unrelated problem and divergent domain,[],False,True,0.0971,0.1551675014070738,False,intent mismatch + problem: unrelated problem and divergent domain + PENALTY: issue mismatch + rejected: issue mismatch
"@115858 @AppleSupport worst service ever! 3000+ pictures/videoes of my son from a baby, Christmas, birthday GONE!! No answer as to why or anything. Will definitely be getting rid of my phone now and won’t be using Apple products again🙂 #ios1111",ios_software_update,ios_software_update,@AppleSupport I am this close to never using Apple products again,@793014 Let us help you. Could you give us more details?,0.21092045678518984,0.5,0.15,unrelated problem and divergent domain,[],False,True,0.1052,0.15438165977626805,False,intent mismatch + problem: unrelated problem and divergent domain + PENALTY: issue mismatch + rejected: issue mismatch
@AppleSupport @115850 7/n the person asked me to deposit my device for 4-5days to service the device on heating issue. This is 2017 AD and not BC.,device_hardware,device_hardware,@115858 I phone 6 heating issue,@610073 Are you able to provide more detail to us via DM? This way we can understand exactly what you are experiencing. https://t.co/GDrqU22YpT,0.22799825572688848,0.88,0.15,unrelated problem and divergent domain,[],False,True,0.1325,0.2051045028821632,False,intent mismatch + problem: unrelated problem and divergent domain + PENALTY: issue mismatch + rejected: issue mismatch
"@115858 @AppleSupport worst service ever! 3000+ pictures/videoes of my son from a baby, Christmas, birthday GONE!! No answer as to why or anything. Will definitely be getting rid of my phone now and won’t be using Apple products again🙂 #ios1111",ios_software_update,ios_software_update,@AppleSupport still no answer as to why the latest update isn’t working or when it will be fixed. #appleslafail,"@377135 We want your iPhone to be working as expected. Send us a DM with details, and we'll start there. https://t.co/GDrqU22YpT",0.24908049587823608,0.68,0.15,unrelated problem and divergent domain,[],False,True,0.1328,0.19647863173874022,False,intent mismatch + problem: unrelated problem and divergent domain + PENALTY: issue mismatch + rejected: issue mismatch
"@AppleSupport why I can’t download my videos from the links, I don’t need download from YouTube 
I stop watching my movie and drama ☹️💔",app_problems,app_problems,@AppleSupport iOS 11.0.3 throws me out whenever I watch videos from fb/YouTube..! Using iPhone 6,@444793 We know it's important to enjoy your videos. We'd like to help out. Let's meet in DM. https://t.co/GDrqU22YpT,0.15375475516603665,0.75,0.35,entity overlap (youtube) with intent divergence,['youtube'],False,False,0.4009,0.29495395508080724,False,intent mismatch + entity overlap (youtube) + problem: entity overlap (youtube) with intent divergence + rejected: intent mismatch without strong problem match
"@AppleSupport Hi, I have an issue where I have set my Calendar app on Mac to start week on Monday but it randomly changes to start week on Sunday and I have to keep changing it back, can you please advise a fix?",app_problems,app_problems,"@614107 @115858 Literally! My phone keeps freezing and I have to keep hard resetting it, proper annoying",@223543 We'd like to help find the best solution for issues you are having. DM us what iOS 11 version you're on. https://t.co/GDrqU22YpT,0.10428812974090636,0.75,0.5,intent alignment without specific issue keywords,[],False,False,0.4411,0.32040716770071737,False,intent agreement + problem: intent alignment without specific issue keywords + rejected: below threshold
"@AppleSupport Hi, I have an issue where I have set my Calendar app on Mac to start week on Monday but it randomly changes to start week on Sunday and I have to keep changing it back, can you please advise a fix?",app_problems,app_problems,@757370 @AppleSupport @AppleSupport 🗣 WE ABOUT TO START SUING!!!,@757370 Help is here. Let's get your iPhone working again. Please check the steps found here: https://t.co/8MvHMFZ83h and let us know what happens. Need more room? Tap here to DM us: https://t.co/GDrqU22YpT,0.13937359376044817,0.75,0.5,intent alignment without specific issue keywords,[],False,False,0.4498,0.33213147422172773,False,intent agreement + problem: intent alignment without specific issue keywords + rejected: below threshold
"@AppleSupport ""Connections to host https://t.co/UE9wL6EXSQ on the default ports failed.""",wifi_connectivity,wifi_connectivity,@AppleSupport hi! With the last update my phone can’t find my habitual wifi connections. Please help. https://t.co/vN7X7w6KBG,@264968 Thanks for reaching out. We're here to help. DM us so we can look into this further with you. https://t.co/GDrqU22YpT,0.10909239572750772,0.75,0.5,intent alignment without specific issue keywords,[],False,False,0.5023,0.3494172730926174,False,intent agreement + problem: intent alignment without specific issue keywords + rejected: below threshold
Literally every single photo I have is gone. Thanks @AppleSupport,app_problems,app_problems,@115858 please get your shit together. Updated my iOS and every single app crashes and my phone itself crashes. 💔,"@410400 We'd like to see how we can help with your iPhone. Send us a DM with more information, and we'll get started. https://t.co/GDrqU22YpT",0.11913613908431722,0.75,0.5,intent alignment without specific issue keywords,[],False,False,0.5048,0.3536156585598011,False,intent agreement + problem: intent alignment without specific issue keywords + rejected: below threshold
"@AppleSupport ""Connections to host https://t.co/UE9wL6EXSQ on the default ports failed.""",wifi_connectivity,wifi_connectivity,@AppleSupport It just says failed to send.,@119044 We'd like to look into what's going on with your MMS. What happens when you try to send? Do you get an error?,0.1015927729008865,0.8,0.5,intent alignment without specific issue keywords,[],False,False,0.5054,0.3513839402767527,False,intent agreement + problem: intent alignment without specific issue keywords + rejected: below threshold
@AppleSupport Other applications are the same. Horizontal position is problematic.,screen_display,screen_display,"@AppleSupport It stucks for a while when i change the screen rotate, it doesn’t come back vertical position. Any horizontal used apps cause this problem https://t.co/REPGSURD7H",@223543 We'd like to help find the best solution for issues you are having. DM us what iOS 11 version you're on. https://t.co/GDrqU22YpT,0.129166870986449,0.75,0.5,intent alignment without specific issue keywords,[],False,False,0.5073,0.3578100625218534,False,intent agreement + problem: intent alignment without specific issue keywords + rejected: below threshold
"@AppleSupport ""Connections to host https://t.co/UE9wL6EXSQ on the default ports failed.""",wifi_connectivity,wifi_connectivity,@AppleSupport iPhone SE and yes i have on 2 different wifi connections,@194216 We'll be happy to assist. What device are you seeing this on? Have you tried multiple internet connections?,0.11349737856906363,0.8,0.5,intent alignment without specific issue keywords,[],False,False,0.5084,0.3585101978421335,False,intent agreement + problem: intent alignment without specific issue keywords + rejected: below threshold
