query_number,query_tweet_id,conversation_id,true_intent,predicted_intent,p_at_1,p_at_3,p_at_5,mrr,ndcg_at_5,top1_intent_match,topk_intent_match_rate,average_similarity,strongly_relevant_count,somewhat_relevant_count,irrelevant_count
1,2343831,apple_004208,device_hardware,device_hardware,1,0.6666666666666666,0.8,1.0,1.0,1,0.8,0.19060618675882685,0,4,1
2,2958698,apple_045892,other_unclear,other_unclear,1,1.0,0.8,1.0,1.0,1,1.0,0.39373524487798844,0,4,1
3,2837178,apple_072786,app_problems,app_problems,1,1.0,1.0,1.0,1.0,1,1.0,0.10430337135736034,0,5,0
4,2299407,apple_021948,app_store_downloads,app_store_downloads,1,1.0,1.0,1.0,1.0,1,1.0,0.07304703569341496,0,5,0
5,1804005,apple_053579,ios_software_update,ios_software_update,1,1.0,1.0,1.0,1.0,1,1.0,0.22139241325568237,0,5,0
6,1651994,apple_041365,ios_software_update,ios_software_update,1,1.0,1.0,1.0,1.0,1,1.0,0.208615586432401,1,4,0
7,152892,apple_008217,app_problems,wifi_connectivity,0,0.0,0.0,0.0,0.0,1,1.0,0.14943177433013272,0,0,5
8,1773204,apple_063425,other_unclear,other_unclear,1,1.0,1.0,1.0,1.0,1,1.0,0.4423547878674234,5,0,0
9,1643279,apple_013282,app_store_downloads,app_store_downloads,1,1.0,1.0,1.0,1.0,1,1.0,0.126560309968001,0,5,0
10,2519462,apple_067506,calls_cellular,calls_cellular,1,1.0,1.0,1.0,1.0,1,1.0,0.24790345374503886,3,2,0
11,1745514,apple_006090,screen_display,screen_display,1,1.0,1.0,1.0,1.0,1,1.0,0.4863135206913431,5,0,0
12,1978681,apple_027819,other_unclear,other_unclear,1,0.3333333333333333,0.2,1.0,1.0,1,1.0,0.21068937689899178,0,1,4
13,1583811,apple_011121,ios_software_update,ios_software_update,1,1.0,1.0,1.0,1.0,1,1.0,0.2626990663600869,4,1,0
14,1795402,apple_028365,battery_charging,battery_charging,1,1.0,1.0,1.0,1.0,1,1.0,0.17377090189720162,0,5,0
15,2914628,apple_037245,apple_id_icloud,apple_id_icloud,1,1.0,1.0,1.0,1.0,1,1.0,0.24707479032639307,3,2,0
16,2593234,apple_064137,app_problems,app_problems,1,1.0,1.0,1.0,1.0,1,1.0,0.2592737719563433,3,2,0
