evaluation_id,customer_message,expected_intent,generated_reply,escalation_decision,escalation_reason,evidence_text,human_correctness,human_groundedness,human_relevance,human_completeness,human_tone,human_unsupported_claims,human_notes
eval_01,@AppleSupport How do I allow no password for already purchased apps but require a password for any new apps (even free) in the App Store?,app_store_downloads,"Based on a similar Apple Support case, We'd love to help you get the App Store working again like you expect. Are you getting an error message when you try? Have you tried on a different Wi-Fi network? Let us know in DM and we'll get started.",AUTO_HANDLE,,@192517 We'd be glad to look into this with you. Does this happen with every download? Let us know in DM to get started. https://t.co/GDrqU22YpT,1,2,1,1,4,4,Customer asked how to configure App Store password requirements for free vs purchased apps; reply completely mismatched by troubleshooting network/connection errors.
eval_02,"Dear @115858, 

I am still patiently waiting for the day I can delete these apps I've #never used. 

Sincerely, me. https://t.co/9P2vBfYiHU",other_unclear,"Based on a similar Apple Support case, An update has been released to assist with this issue. If you haven’t yet, please back up your device and update it to iOS 11.1.1. For more info, check out:",AUTO_HANDLE,,"@696942 An update has been released to assist with this issue. If you haven’t yet, please back up your device and update it to iOS 11.1.1. For more info, check out: https://t.co/4f8hwT5to6",2,4,2,1,3,4,Customer complained about inability to delete pre-installed apps; reply suggests iOS 11.1.1 update with a truncated URL.
eval_03,.@AppleSupport Since updating to 11.0.3 I can only send an MMS by first turning Wi-Fi off. Is this going to be fixed?,wifi_connectivity,"Could you tell us what is happening with Wi-Fi, such as not connecting or frequently disconnecting?",AUTO_HANDLE,,@691750 We understand your concerns with Wi-Fi and we'll be happy to shed some light on what's going on. iOS 11 changes some behaviors within the Control Center. See https://t.co/G7BHuQnDS6 for details on Wi-Fi and Bluetooth control after the update.,2,5,2,2,4,5,Customer clearly stated MMS fails unless Wi-Fi is disabled; reply ignored MMS and asked if Wi-Fi itself was disconnecting.
eval_04,@115858 when are you going to fix this bug because am getting really annoyed. About to leave apple and return to droid.,app_problems,"Based on a similar Apple Support case, We want to help. Use the link below to reach out via DM. Let us know if this happens when you receive notifications for other apps or just this one. We'll also want to verify the version of iOS you currently have installed.",AUTO_HANDLE,,@679751 We want to help. Use the link below to reach out via DM. Let us know if this happens when you receive notifications for other apps or just this one. We'll also want to verify the version of iOS you currently have installed. https://t.co/GDrqU22YpT,3,5,3,3,4,4,"Vague bug complaint from customer; reply reasonably requests clarification and iOS version, though assumes a notification issue."
eval_05,When listening to music on my @115858 phone why does it stop when I go into @917 🤔,other_unclear,"Based on a similar Apple Support case, You can. Check out how to use Control Center and Music here:",AUTO_HANDLE,,"@362691 Which device and version of iOS are you using? Check Settings &gt; General &gt; About, and let us know in DM. https://t.co/GDrqU22YpT",1,1,1,1,3,4,"Severe failure: replies 'You can' to a 'why does music stop' query, contradicts the retrieved evidence, and omits link."
eval_06,@167325 @AppleSupport It’s the worst....wish I could downgrade 😂,ios_update,"Could you provide a little more detail about the issue you're experiencing, including your device model and iOS version?",AUTO_HANDLE,,"@606530 We can help. Check out this article on the Accessibility feature called Reachability: https://t.co/MWyrI4JKD1

Let us know if you need any further assistance.",5,5,5,4,4,5,"Appropriate clarification: Customer made a vague comment about wanting to downgrade; asking for specific symptoms, device model, and iOS version is correct."
eval_07,"When you’re trying to listen to music on your iPhone and your phone says your @115858 headphones are not an accessory supported by the device...excuse me, what?",audio_speaker,"Based on a similar Apple Support case, We'd like to help with your iPhone and music conflict. Does it pair with other Bluetooth devices okay? Which iOS version are you using? The latest is 11.1.2. Send us a DM, and we'll continue working there.",AUTO_HANDLE,,"@801670 Having your headphones working is certainly important and we'll be happy to help! Which iPhone are you experiencing this on? Also, which version of iOS is currently installed? Have you tried other headphones too? If not, give that a try &amp; let us know how it goes.",3,3,3,3,4,4,Customer reported an unsupported accessory error for headphones; reply assumed Bluetooth pairing rather than physical connector/lightning diagnostics.
eval_08,"@AppleSupport my iPhone has suddenly started draining battery rapidly, losing 20% for example in under a minute! Whyyyyy",battery_charging,"Based on a similar Apple Support case, We know how vital the battery is on your iPhone. Please check out this article: DM us the result.",AUTO_HANDLE,,@201006 We know how vital the battery is &amp; we'll help. Please complete these steps: https://t.co/TpjqFp3jxD Please DM us the result. https://t.co/GDrqU22YpT,2,4,4,1,4,5,"Relevant battery drain topic and empathetic tone, but the reply omitted the troubleshooting URL, leaving the customer stranded."
eval_09,@115858 why can’t I make outbound calls on either one my phones. WHAT THE FUCK,calls_cellular,"Based on a similar Apple Support case, Let's work on this together! Which iOS version are we working with? You can check in Settings &gt; General &gt; About. Who is your wireless carrier? Please DM us.",AUTO_HANDLE,,"@718408 We'd love to help. Let's begin by restarting your iPhone. This will refresh network connectivity as well as the iPhone's software. Restart your iPhone: https://t.co/OWRDHWSt4h
Let us know how that goes?",4,3,4,3,4,5,"Customer reported outbound call failure on two phones; asking for wireless carrier is a very sharp diagnostic inquiry, though differs from evidence restart steps."
eval_10,@AppleSupport I think I found the answer: I can't pre-order iPhone X SIM-free at this time. I'm not sure when Apple will allow it. Thanks tho https://t.co/SICYUgzEPL,calls_cellular,You're welcome! Glad to hear that helped.,AUTO_HANDLE,,"@141075 Thanks for reaching out. You may need to try another appropriately sized  SIM card. Your carrier may be able to help. Check out this article for more details: 

https://t.co/Mhw9pFAK08",5,5,5,5,5,5,
