evaluation_id,model_correctness,model_groundedness,model_relevance,model_completeness,model_tone,model_unsupported_claims,model_overall,model_reason
eval_01,1,4,1,1,4,5,2.67,Problem mismatch: Customer inquired about password settings for App Store downloads; reply erroneously troubleshoots App Store network errors.
eval_02,1,3,1,1,3,5,2.33,Truncated reply with missing URL and inappropriate iOS 11.1.1 update advice for a query about deleting pre-installed apps.
eval_03,3,5,2,2,4,5,3.5,"Safe diagnostic fallback: Wi-Fi question is polite and grounded, but customer already explained the specific MMS conflict."
eval_04,4,4,4,4,4,5,4.17,Appropriate diagnostic response: Customer gave a vague complaint about an unspecified bug; reply requests notification details and iOS version.
eval_05,3,4,3,3,4,5,3.67,"Reasonable diagnostic clarification asking for iOS version and device model, though lacks specific guidance on third-party audio ducking."
eval_06,1,4,1,1,4,5,2.67,Problem mismatch: Customer joked about downgrading iOS; reply irrelevantly offered an article on Reachability accessibility.
eval_07,3,5,3,3,4,5,3.83,Safe diagnostic clarification asking for device model and iOS version for an accessory compatibility alert.
eval_08,2,4,3,2,4,5,3.33,"Relevant battery intent and empathetic tone, but omitted link leaves the troubleshooting steps incomplete."
eval_09,3,4,3,3,4,5,3.67,"Partially helpful diagnostic question, though customer had already specified the terms and conditions prompt."
eval_10,5,5,5,4,5,5,4.83,"Directly relevant and actionable diagnostic question asking whether audio muffling occurs on calls, media, or both."
eval_11,4,5,3,3,4,5,4.0,Safe diagnostic clarification requesting device model and iOS version for unexpected battery drain.
eval_12,4,4,4,4,4,5,4.17,Correctly explains the iOS 11 Control Center Wi-Fi disconnect behavior and directs user to Settings for complete disabling.
eval_13,3,5,3,3,4,5,3.83,Safe diagnostic fallback asking for device model and iOS version for a missing lock screen clock glitch.
eval_14,5,4,5,4,5,5,4.67,Highly accurate and directly relevant solution identifying iOS 11.1.1 autocorrect bug fix with backup advisory.
eval_15,2,4,2,2,3,5,3.0,"Problem mismatch: Customer lost photos; reply asks about deleting pictures, though iCloud Photo question is partially relevant."
eval_16,1,3,1,1,3,5,2.33,Empty article reference with no diagnostic questions fails to address subway popup.
eval_17,1,3,2,1,3,5,2.5,Problem mismatch: Customer reported music stopping during app refresh; reply mistakenly asked about music deletion.
eval_18,2,4,2,2,4,5,3.17,Weak diagnostic relevance: Inquiring about country of residence does not assist with post-update device sluggishness.
eval_19,1,5,1,1,3,5,2.67,Intent/problem mismatch: Customer reported alarm clock failure; fallback template erroneously asked cellular/call questions.
eval_20,4,4,4,4,4,5,4.17,Relevant diagnostic questions checking network connectivity (Wi-Fi vs cellular) and iOS version for Siri high-quality voice assets.
eval_21,5,5,5,4,5,5,4.83,Directly relevant and accurate first-line troubleshooting step (force restart) for an unresponsive touchscreen.
eval_22,2,3,3,2,4,5,3.17,"Correct topic (App Store connection), but missing URL leaves the troubleshooting steps omitted."
eval_23,5,5,5,5,5,5,5.0,"Actionable, accurate, and completely grounded battery troubleshooting step directing customer to battery usage by app."
