evaluation_id,tweet_id,conversation_id,customer_message,expected_intent,generated_reply,escalation_decision,escalation_reason,evidence_used,evidence_text,human_correctness,human_groundedness,human_relevance,human_completeness,human_tone,human_unsupported_claims
eval_01,1643279,apple_013282,@AppleSupport How do I allow no password for already purchased apps but require a password for any new apps (even free) in the App Store?,app_store_downloads,"Based on a similar Apple Support case, We'd love to help you get the App Store working again like you expect. Are you getting an error message when you try? Have you tried on a different Wi-Fi network? Let us know in DM and we'll get started.",AUTO_HANDLE,,True,@192517 We'd be glad to look into this with you. Does this happen with every download? Let us know in DM to get started. https://t.co/GDrqU22YpT,,,,,,
eval_02,2965414,apple_060715,"Dear @115858, 

I am still patiently waiting for the day I can delete these apps I've #never used. 

Sincerely, me. https://t.co/9P2vBfYiHU",other_unclear,"Based on a similar Apple Support case, An update has been released to assist with this issue. If you haven’t yet, please back up your device and update it to iOS 11.1.1. For more info, check out:",AUTO_HANDLE,,True,"@696942 An update has been released to assist with this issue. If you haven’t yet, please back up your device and update it to iOS 11.1.1. For more info, check out: https://t.co/4f8hwT5to6",,,,,,
eval_03,1919559,apple_043041,.@AppleSupport Since updating to 11.0.3 I can only send an MMS by first turning Wi-Fi off. Is this going to be fixed?,wifi_connectivity,"Could you tell us what is happening with Wi-Fi, such as not connecting or frequently disconnecting?",AUTO_HANDLE,,False,@691750 We understand your concerns with Wi-Fi and we'll be happy to shed some light on what's going on. iOS 11 changes some behaviors within the Control Center. See https://t.co/G7BHuQnDS6 for details on Wi-Fi and Bluetooth control after the update.,,,,,,
eval_04,2562363,apple_036589,@115858 when are you going to fix this bug because am getting really annoyed. About to leave apple and return to droid.,app_problems,"Based on a similar Apple Support case, We want to help. Use the link below to reach out via DM. Let us know if this happens when you receive notifications for other apps or just this one. We'll also want to verify the version of iOS you currently have installed.",AUTO_HANDLE,,True,@679751 We want to help. Use the link below to reach out via DM. Let us know if this happens when you receive notifications for other apps or just this one. We'll also want to verify the version of iOS you currently have installed. https://t.co/GDrqU22YpT,,,,,,
eval_05,2072245,apple_001982,When listening to music on my @115858 phone why does it stop when I go into @917 🤔,other_unclear,"Based on a similar Apple Support case, You can. Check out how to use Control Center and Music here:",AUTO_HANDLE,,True,"@362691 Which device and version of iOS are you using? Check Settings &gt; General &gt; About, and let us know in DM. https://t.co/GDrqU22YpT",,,,,,
eval_06,215819,apple_072568,@167325 @AppleSupport It’s the worst....wish I could downgrade 😂,ios_update,"Could you provide a little more detail about the issue you're experiencing, including your device model and iOS version?",AUTO_HANDLE,,False,"@606530 We can help. Check out this article on the Accessibility feature called Reachability: https://t.co/MWyrI4JKD1

Let us know if you need any further assistance.",,,,,,
eval_07,2412410,apple_064236,"When you’re trying to listen to music on your iPhone and your phone says your @115858 headphones are not an accessory supported by the device...excuse me, what?",audio_speaker,"Based on a similar Apple Support case, We'd like to help with your iPhone and music conflict. Does it pair with other Bluetooth devices okay? Which iOS version are you using? The latest is 11.1.2. Send us a DM, and we'll continue working there.",AUTO_HANDLE,,True,"@801670 Having your headphones working is certainly important and we'll be happy to help! Which iPhone are you experiencing this on? Also, which version of iOS is currently installed? Have you tried other headphones too? If not, give that a try &amp; let us know how it goes.",,,,,,
eval_08,2790649,apple_041950,"@AppleSupport my iPhone has suddenly started draining battery rapidly, losing 20% for example in under a minute! Whyyyyy",battery_charging,"Based on a similar Apple Support case, We know how vital the battery is on your iPhone. Please check out this article: DM us the result.",AUTO_HANDLE,,True,@201006 We know how vital the battery is &amp; we'll help. Please complete these steps: https://t.co/TpjqFp3jxD Please DM us the result. https://t.co/GDrqU22YpT,,,,,,
eval_09,2519462,apple_067506,@115858 why can’t I make outbound calls on either one my phones. WHAT THE FUCK,calls_cellular,"Based on a similar Apple Support case, Let's work on this together! Which iOS version are we working with? You can check in Settings &gt; General &gt; About. Who is your wireless carrier? Please DM us.",AUTO_HANDLE,,True,"@718408 We'd love to help. Let's begin by restarting your iPhone. This will refresh network connectivity as well as the iPhone's software. Restart your iPhone: https://t.co/OWRDHWSt4h
Let us know how that goes?",,,,,,
eval_10,1338119,apple_022603,@AppleSupport I think I found the answer: I can't pre-order iPhone X SIM-free at this time. I'm not sure when Apple will allow it. Thanks tho https://t.co/SICYUgzEPL,calls_cellular,You're welcome! Glad to hear that helped.,AUTO_HANDLE,,False,"@141075 Thanks for reaching out. You may need to try another appropriately sized  SIM card. Your carrier may be able to help. Check out this article for more details: 

https://t.co/Mhw9pFAK08",,,,,,
