query_number,query_tweet_id,query_conversation_id,query,true_intent,predicted_intent,confidence,rank,similarity,retrieved_conversation_id,retrieved_customer,retrieved_response,relevance,query_text,prediction_confidence,historical_tweet_id,historical_conversation_id,historical_customer,historical_response
,2343831,apple_004208,,device_hardware,device_hardware,,1,0.23275898106542633,,,,1,Got my new Three SIM card yay... and now the sim drawer won’t open on my phone... so O2 still have me! @AppleSupport can you help me with this? Looks like the sim isn’t fitting in the slot preventing it from opening! Do I come to your store to get it sorted?,0.20229225395478612,2308842,apple_047718,@AppleSupport I went to your store to get my SIM card in and my cellur data worked there but not now I need help this is getting me mad,@208757 We'll do what we can to get that working so you can go back to enjoying your iPhone. Are you not getting cellular data in just that specific location?
,2343831,apple_004208,,device_hardware,device_hardware,,2,0.19123103712372624,,,,1,Got my new Three SIM card yay... and now the sim drawer won’t open on my phone... so O2 still have me! @AppleSupport can you help me with this? Looks like the sim isn’t fitting in the slot preventing it from opening! Do I come to your store to get it sorted?,0.20229225395478612,2169884,apple_031120,Well looks like I already gotta take my iPhone X to the @115858 store to get it fixed,@636544 What's going on with your iPhone X? We'd love to help!
,2343831,apple_004208,,device_hardware,device_hardware,,3,0.18801853805793767,,,,1,Got my new Three SIM card yay... and now the sim drawer won’t open on my phone... so O2 still have me! @AppleSupport can you help me with this? Looks like the sim isn’t fitting in the slot preventing it from opening! Do I come to your store to get it sorted?,0.20229225395478612,1220420,apple_044360,"@AppleSupport Also does the phone come sim card free? When I get the phone, do I need to get a sim card from vodafone etc? How does it work? Thanks!",@406336 Great question! To make sure we can provide accurate information. Where will be purchasing your iPhone X?
,2343831,apple_004208,,device_hardware,device_hardware,,4,0.1823022552751555,,,,0,Got my new Three SIM card yay... and now the sim drawer won’t open on my phone... so O2 still have me! @AppleSupport can you help me with this? Looks like the sim isn’t fitting in the slot preventing it from opening! Do I come to your store to get it sorted?,0.20229225395478612,177830,apple_000030,@AppleSupport The SIM card was brand new given to us when we got the device.,"@157889 Was the iPhone ordered online, or purchased in store? If ordered online, let us know whether it was purchased from Apple, or your wireless carrier. If purchased from your wireless carrier, check the box it shipped in for any specific activation instructions."
,2343831,apple_004208,,device_hardware,device_hardware,,5,0.17754376423694254,,,,2,Got my new Three SIM card yay... and now the sim drawer won’t open on my phone... so O2 still have me! @AppleSupport can you help me with this? Looks like the sim isn’t fitting in the slot preventing it from opening! Do I come to your store to get it sorted?,0.20229225395478612,1809548,apple_015428,"@115858 Help, my iPhone has sim stuck and I can't open the drawer to get it out. Advice please",@543632 We've got your back. Could you join us in DM with more details and let us know which model iPhone you are using? https://t.co/GDrqU22YpT
,2958698,apple_045892,,other_unclear,other_unclear,,1,0.421910401285026,,,,2,@AppleSupport I have restarted my phone and it is working now. Must be a bug?,0.14231033450922068,2112779,apple_004982,@AppleSupport i soft reset my phone and it is working now,"@366383 We're glad to hear that worked for you. 

If you have any other questions, just let us know."
,2958698,apple_045892,,other_unclear,other_unclear,,2,0.3656615636705403,,,,1,@AppleSupport I have restarted my phone and it is working now. Must be a bug?,0.14231033450922068,1748684,apple_031954,"@AppleSupport I have restarted my computer, yes.",@373660 Thanks for restarting. Please complete these steps and let us know the result: https://t.co/1SrHVMz478
,2958698,apple_045892,,other_unclear,other_unclear,,3,0.3557533064118391,,,,1,@AppleSupport I have restarted my phone and it is working now. Must be a bug?,0.14231033450922068,2688168,apple_054183,"Must be a bug , not an unleaked LOCKSCREEN ON the @AppleSupport  iPhone. https://t.co/qU3xmwzVFi","@274753 We'll be glad to take a look with you. From the screenshot, are you seeing this on your Home screen? Please send us a DM including more details. https://t.co/GDrqU22YpT"
,2958698,apple_045892,,other_unclear,other_unclear,,4,0.3524059611620165,,,,1,@AppleSupport I have restarted my phone and it is working now. Must be a bug?,0.14231033450922068,2784624,,@777505 @115858 Does it with mine too. Must be a bug,@274540 We received your DM and would be happy to continue with you there.
,2958698,apple_045892,,other_unclear,other_unclear,,5,0.34922793056009993,,,,2,@AppleSupport I have restarted my phone and it is working now. Must be a bug?,0.14231033450922068,60311,apple_074086,@AppleSupport Working now,@121480 Awesome! Let us know if you need help in the future.
