id,tweet_id,category,reason,gold,pred,customer,generated
eval_01,1160540,C,Evidence gate accepted evidence that was only intent-related (battery article for battery health feature inquiry),battery_charging,battery_charging,@AppleSupport can you help me figure out the battery health of my iPhone 6s? It typically lasts only for a few hrs ):,"Based on a similar Apple Support case, You've come to the right place! We know how important it is to have your iPhone battery performing its best. Tell us, what's happening with the battery performance? Please, follow the steps in this article and s"
eval_02,2736443,H,Clarification was unnecessary: customer clearly stated iMessage email address send/receive issue,other_unclear,other_unclear,WHY ARE MY MESSAGES COMING FROM MY EMAIL WTF @AppleSupport,Could you provide a little more detail about the issue you're experiencing?
eval_03,689396,I,"Intent misclassification: gold=ios_update, predicted=battery_charging",ios_update,battery_charging,@AppleSupport since the last 2 updates the battery on my 6s drains within an hour .current update 11.1.2 has not fixed either any ideas,"Based on a similar Apple Support case, We'd like to help you with that battery drain. Let us know which device you're using and the version of iOS 11 installed via DM."
eval_04,2237309,C,Evidence gate accepted evidence that was only intent-related (notification DM for battery drain),battery_charging,battery_charging,"@AppleSupport Well, hum, after a day with the latest version, there is not much progress. Unplugged the phone at 9 AM, it is now 4:30 PM https://t.co/YpURUCwaQZ","Based on a similar Apple Support case, We'd love to partner together and get to the bottom of what you're experiencing on your iPhone. Which iOS version is installed? You'll find that in Settings &gt; General &gt; About."
eval_06,1924839,B,Retrieval selected wrong historical resolution: Reachability accessibility feature for email sync,app_problems,app_problems,Is anybody looking into the mail and messages apps syncing issues with @133941 accounts or are we doomed? @115858,Could you provide a little more detail about the issue you're experiencing?
eval_07,40519,B,Retrieval selected wrong historical resolution: headphones advice for fake account lockout phishing,apple_id_icloud,apple_id_icloud,@AppleSupport hi so I got an email my account was locked. But I’m pretty sure it was a fake.,"Could you tell us whether the issue is with signing in, your password, or iCloud?"
eval_08,2284493,B,Retrieval selected wrong historical resolution: battery troubleshooting for Bluetooth turning on,other_unclear,other_unclear,@115858 stop turning my bluetooth on every time my phone restarts.,Could you provide a little more detail about the issue you're experiencing?
eval_09,2343831,I,"Intent misclassification: SIM drawer stuck is device_hardware, predicted=calls_cellular",device_hardware,calls_cellular,Got my new Three SIM card yay... and now the sim drawer won’t open on my phone... so O2 still have me! @AppleSupport can you help me with this? Looks like the sim isn’t fitting in the slot preventing it from opening! Do I come to your store to get it,"Could you tell us what is happening with the SIM card, tray, or SIM slot?"
eval_10,2958698,G,Customer message indicates issue was resolved ('working now'); reply acknowledged but customer asked if it was a bug,other_unclear,other_unclear,@AppleSupport I have restarted my phone and it is working now. Must be a bug?,You're welcome! Glad to hear that helped.
eval_11,2837178,H,Clarification was unnecessary: customer explicitly specified Calendar app on Mac and the exact setting,app_problems,app_problems,"@AppleSupport Hi, I have an issue where I have set my Calendar app on Mac to start week on Monday but it randomly changes to start week on Sunday and I have to keep changing it back, can you please advise a fix?",Could you tell us which app is affected and what happens when you try to use it?
