index,tweet_id,conversation_id,customer_message,gold_intent,predicted_intent,intent_correct,reply,evidence_used,evidence_safe,evidence_relevance,evidence_quality,problem_match,customer_problem_similarity,response_problem_similarity,intent_match,domain_match,action_match,conflict_detected,generic_response,final_evidence_score,evidence_rejection_reason,grounded,unsupported_claims,response_type,escalation_decision,escalation_reason,safe_to_answer,generation_error
1,2343831,apple_004208,Got my new Three SIM card yay... and now the sim drawer won’t open on my phone... so O2 still have me! @AppleSupport can you help me with this? Looks like the sim isn’t fitting in the slot preventing it from opening! Do I come to your store to get it sorted?,device_hardware,device_hardware,True,"Could you provide more details about the hardware issue, including what happens when you use the device?",True,True,0.645,0.68,0.575,0.65,0.5,True,0.5,0.75,False,False,0.51,domain_match + actionable_guidance,True,,insufficient_evidence,AUTO_HANDLE,,True,
2,2958698,apple_045892,@AppleSupport I have restarted my phone and it is working now. Must be a bug?,other_unclear,other_unclear,True,"Glad to hear restarting resolved it! If the issue reoccurs or appears to be a software bug, let us know what iOS version you're running so we can look into it.",False,False,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,False,False,0.0,no_evidence,True,,resolved_acknowledgement,AUTO_HANDLE,,False,
3,2837178,apple_072786,"@AppleSupport Hi, I have an issue where I have set my Calendar app on Mac to start week on Monday but it randomly changes to start week on Sunday and I have to keep changing it back, can you please advise a fix?",app_problems,app_problems,True,"Could you tell us what occurs when you use the app, including any error messages you see?",True,True,0.72,0.68,0.575,0.65,0.5,True,1.0,0.75,False,False,0.585,domain_match + actionable_guidance,True,,insufficient_evidence,AUTO_HANDLE,,True,
4,2299407,apple_021948,@AppleSupport my son is being exposed to inappropriate ads in ad supported kid's games we download from the Apple Store. How can I prevent this?,app_store_downloads,app_store_downloads,True,Could you tell us whether the issue is with downloading or installing an app?,False,False,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,False,False,0.0,no_evidence,True,,insufficient_evidence,AUTO_HANDLE,,False,
5,1804005,apple_053579,I wish @AppleSupport would let me download the previous iOS so that my phone can actually work normal again #SteveJobsWouldntAllowThis,ios_update,ios_update,True,"Could you tell us what is happening with the iOS update, such as downloading, installing, or failing?",True,True,0.945,0.75,0.95,0.95,0.95,True,1.0,0.75,False,False,0.81,domain_match + actionable_guidance,True,,insufficient_evidence,AUTO_HANDLE,,True,
6,1651994,apple_041365,"@AppleSupport 2 weeks have passed and no update to fix the lag yet . Please allow old phones to revert back to iOS 10.3.3
#returntoiOS10.3.3",ios_update,ios_update,True,"Could you tell us what is happening with the iOS update, such as downloading, installing, or failing?",True,True,0.945,0.75,0.95,0.95,0.95,True,1.0,0.75,False,False,0.81,domain_match + actionable_guidance,True,,insufficient_evidence,AUTO_HANDLE,,True,
7,152892,apple_008217,@AppleSupport (2) recall to be the thing that caused it. I also downloaded the Anomal Crossing app but i dont think that was it. After the video my phone's message app has been acting up and nothing seems to fix it. I have not tried with wifi yet as I dont have wifi today. Tomorrow I will.,app_problems,wifi_connectivity,False,"Based on a similar Apple Support case, We know updating is important, we're happy to help. To clarify, are you attempting to install the public beta or iOS 11.1.2? Also, are you using a home, business, or public Wi-Fi network?",True,True,0.72,0.85,0.575,0.65,0.5,False,1.0,0.75,False,False,0.585,domain_match + actionable_guidance,True,,troubleshooting,AUTO_HANDLE,,True,
8,1773204,apple_063425,@AppleSupport @532936 Yeah that work around doesn’t work anymore!!,other_unclear,other_unclear,True,"Based on a similar Apple Support case, Here’s what you can do to work around the issue until it’s fixed in a future software update:",True,True,0.645,0.93,0.575,0.65,0.5,True,0.5,0.75,False,False,0.51,domain_match + actionable_guidance,True,,troubleshooting,AUTO_HANDLE,,True,
9,1643279,apple_013282,@AppleSupport How do I allow no password for already purchased apps but require a password for any new apps (even free) in the App Store?,app_store_downloads,app_store_downloads,True,"Based on a similar Apple Support case, We want you to be able to check out all the latest new apps in the App Store. If you're unable to download new apps, what happens when you attempt to do so? Do you receive any error message?",True,True,0.72,0.8,0.575,0.65,0.5,True,1.0,0.75,False,False,0.585,domain_match + actionable_guidance,True,,troubleshooting,AUTO_HANDLE,,True,
10,2519462,apple_067506,@115858 why can’t I make outbound calls on either one my phones. WHAT THE FUCK,calls_cellular,calls_cellular,True,"Based on a similar Apple Support case, Let's work on this together! Which iOS version are we working with? You can check in Settings &gt; General &gt; About. Who is your wireless carrier? Please DM us.",True,True,0.6,1.0,0.575,0.65,0.5,True,1.0,0.75,False,False,0.585,domain_match + actionable_guidance,True,,troubleshooting,AUTO_HANDLE,,True,
11,1745514,apple_006090,Yo @AppleSupport what the hell is this box on my screen https://t.co/WcHl8uyBaT,screen_display,screen_display,True,"Could you tell us what is happening with the screen, such as a black display, touch issue, or flickering?",False,False,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,False,False,0.0,no_evidence,True,,insufficient_evidence,AUTO_HANDLE,,False,
12,1978681,apple_027819,"@115858 @applesupport There is no damn way, my storage is full. I barely have anything on my phone.",other_unclear,other_unclear,True,"To narrow this down, Having the storage space you need is our goal. So we can get started looking into this, could you join us in DM and let us know which device you're seeing this with?",True,True,0.645,0.23,0.95,0.95,0.95,True,0.5,0.75,False,True,0.735,domain_match + actionable_guidance,True,,clarification_question,AUTO_HANDLE,,True,
13,1583811,apple_011121,Hey @AppleSupport. When are you going to update the software so my iPhone doesn’t do this - I️ every time I try to type an I?,ios_update,ios_update,True,"Based on a similar Apple Support case, We'd like to help you with that update. Let us know which iPhone you're attempting to update via DM. We'll go from there.",True,True,0.72,1.0,0.575,0.65,0.5,True,1.0,0.75,False,False,0.585,domain_match + actionable_guidance,True,,troubleshooting,AUTO_HANDLE,,True,
14,1795402,apple_028365,Hi @AppleSupport - why does my phone no longer charge since updating to #iOS11 ? Presume you will fund a new device for me?!,battery_charging,battery_charging,True,"Based on a similar Apple Support case, We can help with battery life. Do you know what version of the iOS is on the device? If not, you can check under Settings &gt; General &gt; About &gt; Version.",True,True,0.72,1.0,0.575,0.65,0.5,True,1.0,0.75,False,False,0.585,domain_match + actionable_guidance,True,,troubleshooting,AUTO_HANDLE,,True,
15,2914628,apple_037245,@AppleSupport It’s saying can’t connect to iMessage server. Try again,apple_id_icloud,apple_id_icloud,True,"Based on a similar Apple Support case, We've checked out server status here, and everything looks good on our end. Send us a DM.",True,True,0.645,0.68,0.575,0.65,0.5,True,0.5,0.75,False,False,0.51,domain_match + actionable_guidance,True,,troubleshooting,AUTO_HANDLE,,True,
16,2593234,apple_064137,@AppleSupport I don’t understand why my phones keeps freezing EVERY 20 minutes and I’m not exaggerating 😕😕,app_problems,app_problems,True,Could you tell us which app is affected and what happens when you try to use it?,False,False,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,False,False,0.0,no_evidence,True,,insufficient_evidence,AUTO_HANDLE,,False,
17,293819,apple_047435,"@AppleSupport why I can’t download my videos from the links, I don’t need download from YouTube 
I stop watching my movie and drama ☹️💔",app_problems,app_problems,True,"Based on a similar Apple Support case, We want to help you with this. What exactly happens when you're using the YouTube app? Which iOS version are you running on your iPhone? You can check here: Settings &gt; General &gt; About &gt; Version.",True,True,0.645,1.0,0.45,0.4,0.5,True,1.0,0.75,False,False,0.51,domain_match + actionable_guidance,True,,troubleshooting,AUTO_HANDLE,,True,
18,2802437,apple_008359,@AppleSupport Other applications are the same. Horizontal position is problematic.,screen_display,screen_display,True,"Could you tell us what is happening with the screen, such as a black display, touch issue, or flickering?",False,False,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,False,False,0.0,no_evidence,True,,insufficient_evidence,AUTO_HANDLE,,False,
19,944328,apple_004476,@AppleSupport @115850 7/n the person asked me to deposit my device for 4-5days to service the device on heating issue. This is 2017 AD and not BC.,device_hardware,device_hardware,True,"Could you provide more details about the hardware issue, including what happens when you use the device?",False,False,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,False,False,0.0,no_evidence,True,,insufficient_evidence,AUTO_HANDLE,,False,
20,2123938,apple_077977,Mi iPhone 7 Plus presenta algunos problemas con App que se cierran u demoran para responder abrir la app que presiono. @119459 @119460 @624212 @AppleSupport @115858,app_problems,app_problems,True,Could you tell us which app is affected and what happens when you try to use it?,True,True,0.6,0.75,0.575,0.65,0.5,True,0.5,0.75,False,False,0.51,domain_match + actionable_guidance,True,,insufficient_evidence,AUTO_HANDLE,,True,
21,2965414,apple_060715,"Dear @115858, 

I am still patiently waiting for the day I can delete these apps I've #never used. 

Sincerely, me. https://t.co/9P2vBfYiHU",other_unclear,other_unclear,True,"Based on a similar Apple Support case, An update has been released to assist with this issue. If you haven’t yet, please back up your device and update it to iOS 11.1.1. For more info, check out:",True,True,0.645,1.0,0.575,0.65,0.5,True,0.5,0.75,False,False,0.51,domain_match + actionable_guidance,True,,troubleshooting,AUTO_HANDLE,,True,
