query_number,query_tweet_id,conversation_id,true_intent,predicted_intent,precision_at_1,precision_at_3,precision_at_5,mrr,ndcg_at_5,average_similarity,strongly_relevant_count,somewhat_relevant_count,irrelevant_count
1,2343831,apple_004208,device_hardware,device_hardware,1,1.0,1.0,1.0,1.0,0.19437091515183766,0,5,0
2,2958698,apple_045892,other_unclear,other_unclear,1,1.0,1.0,1.0,1.0,0.36899183261790436,4,1,0
3,2837178,apple_072786,app_problems,app_problems,1,1.0,1.0,1.0,1.0,0.16726900921034565,0,5,0
4,2299407,apple_021948,app_store_downloads,app_store_downloads,1,1.0,1.0,1.0,1.0,0.19787047068830668,0,5,0
5,1804005,apple_053579,ios_software_update,ios_software_update,1,1.0,1.0,1.0,1.0,0.23394173380422334,0,5,0
6,1651994,apple_041365,ios_software_update,ios_software_update,1,1.0,1.0,1.0,1.0,0.24031696105121675,0,5,0
7,152892,apple_008217,app_problems,app_problems,1,1.0,1.0,1.0,1.0,0.17290204030248524,0,5,0
8,1773204,apple_063425,other_unclear,other_unclear,1,1.0,1.0,1.0,1.0,0.4040557309157409,5,0,0
9,1643279,apple_013282,app_store_downloads,app_store_downloads,1,1.0,1.0,1.0,1.0,0.1986595487876366,1,4,0
10,2519462,apple_067506,calls_cellular,calls_cellular,1,1.0,1.0,1.0,1.0,0.23561716576249309,2,3,0
11,1745514,apple_006090,screen_display,screen_display,1,1.0,1.0,1.0,1.0,0.6011204038748591,5,0,0
12,1978681,apple_027819,other_unclear,other_unclear,1,1.0,1.0,1.0,1.0,0.24276659401616882,1,4,0
13,1583811,apple_011121,ios_software_update,ios_software_update,1,1.0,1.0,1.0,1.0,0.36459811986705076,4,1,0
14,1795402,apple_028365,battery_charging,battery_charging,1,1.0,1.0,1.0,1.0,0.22887460077820912,0,5,0
15,2914628,apple_037245,apple_id_icloud,apple_id_icloud,1,1.0,1.0,1.0,1.0,0.35827694008499056,4,1,0
16,2593234,apple_064137,app_problems,app_problems,1,1.0,1.0,1.0,1.0,0.31289952672010346,0,5,0
17,293819,apple_047435,app_problems,app_problems,1,1.0,1.0,1.0,1.0,0.20831158875061248,0,5,0
18,2802437,apple_008359,screen_display,screen_display,1,1.0,1.0,1.0,1.0,0.2240929574647919,0,5,0
19,944328,apple_004476,device_hardware,device_hardware,1,1.0,1.0,1.0,1.0,0.2001435336925006,0,5,0
20,2123938,apple_077977,app_problems,app_problems,1,1.0,1.0,1.0,1.0,0.28812860865339784,0,5,0
21,2965414,apple_060715,other_unclear,other_unclear,1,1.0,1.0,1.0,1.0,0.2694594803570293,1,4,0
22,2350767,apple_013694,other_unclear,other_unclear,1,1.0,1.0,1.0,1.0,0.5284233836531129,5,0,0
23,810174,apple_004192,apple_id_icloud,apple_id_icloud,1,1.0,1.0,1.0,1.0,0.2255367888076228,0,5,0
24,2296245,apple_053343,app_problems,app_problems,1,1.0,1.0,1.0,1.0,0.18292532913965415,0,5,0
25,1636580,apple_015117,other_unclear,other_unclear,1,1.0,1.0,1.0,1.0,0.5078963655030133,5,0,0
26,1123670,apple_036636,audio_speaker,audio_speaker,1,1.0,1.0,1.0,1.0,0.26160154470955244,0,5,0
27,188375,apple_039400,other_unclear,other_unclear,1,1.0,1.0,1.0,1.0,0.25951854459361334,1,4,0
28,2261521,apple_008053,apple_music_itunes,apple_music_itunes,1,1.0,1.0,1.0,1.0,0.176535765963914,0,5,0
29,1977405,apple_029919,ios_software_update,ios_software_update,1,1.0,1.0,1.0,1.0,0.2421531285042557,0,5,0
30,1216323,apple_013394,ios_software_update,ios_software_update,1,1.0,1.0,1.0,1.0,0.18206158997603286,0,5,0
