query_number,query_tweet_id,query_conversation_id,query_text,true_intent,predicted_intent,prediction_confidence,rank,final_score,similarity,semantic_similarity,retrieval_score,evidence_quality_score,evidence_quality_reason,actionable,generic_response,evidence_relevance_score,problem_match_score,problem_match_reason,entity_overlap,entity_mismatch,issue_overlap,issue_mismatch,relevance_accepted,relevance_reason,historical_conversation_id,historical_intent,intent_match,historical_customer,historical_response,diagnostic_relevance
1,2343831,apple_004208,Got my new Three SIM card yay... and now the sim drawer won’t open on my phone... so O2 still have me! @AppleSupport can you help me with this? Looks like the sim isn’t fitting in the slot preventing it from opening! Do I come to your store to get it sorted?,device_hardware,device_hardware,0.20229225395478612,1,0.4619522444216117,0.19941909941703156,0.19941909941703156,0.4619522444216117,0.73,diagnostic questions + link provided + DM redirection,True,False,0.6954,0.95,exact problem match (calls:sim_issue),['sim'],False,['calls:sim_issue'],False,True,intent agreement + entity overlap (sim) + problem: exact problem match (calls:sim_issue) + ACCEPTED: grounded evidence,apple_015428,device_hardware,True,"@115858 Help, my iPhone has sim stuck and I can't open the drawer to get it out. Advice please",@543632 We've got your back. Could you join us in DM with more details and let us know which model iPhone you are using? https://t.co/GDrqU22YpT,1
1,2343831,apple_004208,Got my new Three SIM card yay... and now the sim drawer won’t open on my phone... so O2 still have me! @AppleSupport can you help me with this? Looks like the sim isn’t fitting in the slot preventing it from opening! Do I come to your store to get it sorted?,device_hardware,device_hardware,0.20229225395478612,2,0.460053116264705,0.24473240609380723,0.24473240609380723,0.460053116264705,0.85,troubleshooting guidance,True,False,0.6837,0.95,exact problem match (calls:sim_issue),['sim'],False,['calls:sim_issue'],False,True,intent mismatch + entity overlap (sim) + problem: exact problem match (calls:sim_issue) + ACCEPTED: grounded evidence,apple_047718,other_unclear,False,@AppleSupport I went to your store to get my SIM card in and my cellur data worked there but not now I need help this is getting me mad,@208757 We'll do what we can to get that working so you can go back to enjoying your iPhone. Are you not getting cellular data in just that specific location?,0
1,2343831,apple_004208,Got my new Three SIM card yay... and now the sim drawer won’t open on my phone... so O2 still have me! @AppleSupport can you help me with this? Looks like the sim isn’t fitting in the slot preventing it from opening! Do I come to your store to get it sorted?,device_hardware,device_hardware,0.20229225395478612,3,0.45659748259378224,0.18866824377053024,0.18866824377053024,0.45659748259378224,0.6,substantive response,False,False,0.7197,0.95,exact problem match (calls:sim_issue),['sim'],False,['calls:sim_issue'],False,True,intent agreement + entity overlap (sim) + problem: exact problem match (calls:sim_issue) + ACCEPTED: grounded evidence,apple_000030,device_hardware,True,@AppleSupport The SIM card was brand new given to us when we got the device.,"@157889 While there are some issues that have to be handled by the carrier, we'll do everything we can to help. What's the issue you're experiencing?",1
1,2343831,apple_004208,Got my new Three SIM card yay... and now the sim drawer won’t open on my phone... so O2 still have me! @AppleSupport can you help me with this? Looks like the sim isn’t fitting in the slot preventing it from opening! Do I come to your store to get it sorted?,device_hardware,device_hardware,0.20229225395478612,4,0.44195194604276117,0.1537481896822261,0.1537481896822261,0.44195194604276117,0.6,substantive response,False,False,0.7109,0.95,exact problem match (calls:sim_issue),['sim'],False,['calls:sim_issue'],False,True,intent agreement + entity overlap (sim) + problem: exact problem match (calls:sim_issue) + ACCEPTED: grounded evidence,apple_060369,device_hardware,True,"I love how my phone decides to break as soon as the iPhone 8 and X are released, the SIM card just stopped working one day @115858","@446806 Hey, can you explain to us what's going on with the SIM card? Are you seeing ""No Service"" on your iPhone? We'll help you.",1
1,2343831,apple_004208,Got my new Three SIM card yay... and now the sim drawer won’t open on my phone... so O2 still have me! @AppleSupport can you help me with this? Looks like the sim isn’t fitting in the slot preventing it from opening! Do I come to your store to get it sorted?,device_hardware,device_hardware,0.20229225395478612,5,0.44088267641814505,0.16646299483053922,0.16646299483053922,0.44088267641814505,0.68,link provided,False,False,0.6821,0.95,exact problem match (calls:sim_issue),['sim'],False,['calls:sim_issue'],False,True,intent agreement + entity overlap (sim) + problem: exact problem match (calls:sim_issue) + ACCEPTED: grounded evidence,apple_076275,device_hardware,True,@AppleSupport Do you need to have two different SIM card in the iPhone’s to do this?,"Seamlessly set up your new #iPhoneX, just by holding it near a device you already own. Here's how, with Automatic Setup in iOS 11. https://t.co/aWk5ExytMJ",1
2,2958698,apple_045892,@AppleSupport I have restarted my phone and it is working now. Must be a bug?,other_unclear,other_unclear,0.14231033450922068,1,0.5391856945637338,0.48416033180257445,0.48416033180257445,0.5391856945637338,1.0,troubleshooting guidance + support resource link,True,False,0.636,0.5,intent alignment without specific issue keywords,[],False,[],False,True,intent agreement + problem: intent alignment without specific issue keywords + ACCEPTED: grounded evidence,apple_020314,other_unclear,True,@AppleSupport It is working now,@451763 Let's help troubleshoot the account itself.  Please check out the steps here: https://t.co/Jpr0POLgCg and keep us posted.,1
2,2958698,apple_045892,@AppleSupport I have restarted my phone and it is working now. Must be a bug?,other_unclear,other_unclear,0.14231033450922068,2,0.5222212051304239,0.4193176638249149,0.4193176638249149,0.5222212051304239,1.0,troubleshooting guidance + diagnostic questions,True,False,0.6198,0.5,intent alignment without specific issue keywords,[],False,[],False,True,intent agreement + problem: intent alignment without specific issue keywords + ACCEPTED: grounded evidence,apple_004982,other_unclear,True,@AppleSupport i soft reset my phone and it is working now,@366383 Let's take a look at this together. Does this happen with only one song? Have you tried closing the app and restarting yet?,1
2,2958698,apple_045892,@AppleSupport I have restarted my phone and it is working now. Must be a bug?,other_unclear,other_unclear,0.14231033450922068,3,0.49191072083865706,0.365177967854937,0.365177967854937,0.49191072083865706,1.0,troubleshooting guidance + diagnostic questions,True,False,0.6063,0.5,intent alignment without specific issue keywords,[],False,[],False,True,intent agreement + problem: intent alignment without specific issue keywords + ACCEPTED: grounded evidence,apple_031954,other_unclear,True,"@AppleSupport I have restarted my computer, yes.",@373660 We'd love to help. Have you tried restarting to see if the issue persists?,1
2,2958698,apple_045892,@AppleSupport I have restarted my phone and it is working now. Must be a bug?,other_unclear,other_unclear,0.14231033450922068,4,0.4867590430390635,0.3518269380361551,0.3518269380361551,0.4867590430390635,0.95,diagnostic questions + support resource link,True,False,0.598,0.5,intent alignment without specific issue keywords,[],False,[],False,True,intent agreement + problem: intent alignment without specific issue keywords + ACCEPTED: grounded evidence,apple_071129,other_unclear,True,@124873 @AppleSupport I️ restarted my phone and it works now!,@124872 We can help! Send us a DM and let us know which iOS version you're running. We'll take it from there. https://t.co/GDrqU22YpT,1
2,2958698,apple_045892,@AppleSupport I have restarted my phone and it is working now. Must be a bug?,other_unclear,other_unclear,0.14231033450922068,5,0.4561971567986364,0.3481933228713608,0.3481933228713608,0.4561971567986364,0.75,support resource link,False,False,0.577,0.5,intent alignment without specific issue keywords,[],False,[],False,True,intent agreement + problem: intent alignment without specific issue keywords + ACCEPTED: grounded evidence,,other_unclear,True,@777505 @115858 Does it with mine too. Must be a bug,@223543 We'd like to help find the best solution for issues you are having. DM us what iOS 11 version you're on. https://t.co/GDrqU22YpT,0
