review_number,tweet_id,created_at,conversation_id,text,candidate_group,human_intent,human_notes,label_status
1,689396,Thu Nov 23 07:29:39 +0000 2017,apple_026709,@AppleSupport since the last 2 updates the battery on my 6s drains within an hour .current update 11.1.2 has not fixed either any ideas,battery_charging,ios_software_update,,human_reviewed
2,500083,Fri Dec 01 18:45:37 +0000 2017,apple_008659,@O2 after 11 year as a loyal customer I get treated like this. All I want is my iPhone unlocking so I can use a @122326 sim. @115858 they have blamed you for the hold up as they need to get a code from you is this true?,calls_cellular,calls_cellular,,human_reviewed
3,2284493,Sat Nov 11 05:20:26 +0000 2017,apple_002688,@115858 stop turning my bluetooth on every time my phone restarts.,audio_speaker,other_unclear,,human_reviewed
4,2237309,Fri Nov 10 15:32:22 +0000 2017,apple_030516,"@AppleSupport Well, hum, after a day with the latest version, there is not much progress. Unplugged the phone at 9 AM, it is now 4:30 PM https://t.co/YpURUCwaQZ",app_problems,battery_charging,,human_reviewed
5,585903,Sun Dec 03 10:29:22 +0000 2017,apple_023412,@115858 I didn't buy a damn iPhone for it to respring everytime I tap on the screen. Get your shit together. #iPhone #Respring #SoftReboot,screen_display,ios_software_update,,human_reviewed
6,1798495,Sat Oct 14 00:49:29 +0000 2017,apple_038680,"@AppleSupport my phone dies so quickly, now. Not sure if it’s due to the update or another problem... 😞",battery_charging,battery_charging,,human_reviewed
7,2790649,Tue Nov 21 20:11:15 +0000 2017,apple_041950,"@AppleSupport my iPhone has suddenly started draining battery rapidly, losing 20% for example in under a minute! Whyyyyy",battery_charging,battery_charging,,human_reviewed
8,2412410,Tue Nov 14 16:40:20 +0000 2017,apple_064236,"When you’re trying to listen to music on your iPhone and your phone says your @115858 headphones are not an accessory supported by the device...excuse me, what?",apple_music_itunes,audio_speaker,,human_reviewed
9,2500862,Wed Nov 15 18:58:17 +0000 2017,apple_001335,@118845 hey my headphones are really quiet. I turn it all the way up and they still are quiet. Please help me!!!!!,audio_speaker,audio_speaker,,human_reviewed
10,400861,Mon Oct 09 18:45:47 +0000 2017,apple_007442,@AppleSupport 11.0.2 battery life has gone from 9 hours to max 6 hours now,battery_charging,battery_charging,,human_reviewed
11,1132173,Tue Oct 24 03:44:05 +0000 2017,apple_058903,@AppleSupport I have a month with my iPhone 8plus³ and still do not finish loading my photos.! I have good Internet and no load!,wifi_connectivity,other_unclear,,human_reviewed
12,1557350,Sat Nov 04 02:06:49 +0000 2017,apple_029371,@115858 really needs to patch this keyboard issue I️,screen_display,ios_software_update,,human_reviewed
13,1861583,Thu Oct 19 16:55:28 +0000 2017,apple_002936,@115858 what should I do now that your shitty headphones broke in my phone ? https://t.co/iF0pvfveRp,audio_speaker,audio_speaker,,human_reviewed
14,1760187,Tue Nov 07 22:54:26 +0000 2017,apple_074712,"Dear @115858 Fix your crap. I spent a billion dollars on this phone &amp; it can’t even type letter ‘I’ correctly. It’s an iPhone, the letter “i” should be your specialty.",screen_display,ios_software_update,,human_reviewed
