evaluation_id,human_correctness,human_groundedness,human_relevance,human_completeness,human_tone,human_unsupported_claims
eval_01,1.0,1.0,1.0,1.0,1.0,1.0
eval_02,2.0,2.0,2.0,2.0,2.0,2.0
eval_03,3.0,3.0,3.0,3.0,3.0,3.0
eval_04,4.0,4.0,4.0,4.0,4.0,4.0
eval_05,5.0,5.0,5.0,5.0,5.0,5.0
eval_06,1.0,1.0,1.0,1.0,1.0,1.0
eval_07,2.0,2.0,2.0,2.0,2.0,2.0
eval_08,3.0,3.0,3.0,3.0,3.0,3.0
eval_09,4.0,4.0,4.0,4.0,4.0,4.0
eval_10,5.0,5.0,5.0,5.0,5.0,5.0
eval_11,1.0,1.0,1.0,1.0,1.0,1.0
eval_12,2.0,2.0,2.0,2.0,2.0,2.0
eval_13,3.0,3.0,3.0,3.0,3.0,3.0
eval_14,4.0,4.0,4.0,4.0,4.0,4.0
eval_15,5.0,5.0,5.0,5.0,5.0,5.0
eval_16,1.0,1.0,1.0,1.0,1.0,1.0
eval_17,2.0,2.0,2.0,2.0,2.0,2.0
eval_18,3.0,3.0,3.0,3.0,3.0,3.0
eval_19,4.0,4.0,4.0,4.0,4.0,4.0
eval_20,5.0,5.0,5.0,5.0,5.0,5.0
eval_21,1.0,1.0,1.0,1.0,1.0,1.0
eval_22,2.0,2.0,2.0,2.0,2.0,2.0
eval_23,3.0,3.0,3.0,3.0,3.0,3.0
eval_24,4.0,4.0,4.0,4.0,4.0,4.0
eval_25,5.0,5.0,5.0,5.0,5.0,5.0
eval_26,1.0,1.0,1.0,1.0,1.0,1.0
eval_27,2.0,2.0,2.0,2.0,2.0,2.0
eval_28,3.0,3.0,3.0,3.0,3.0,3.0
eval_29,4.0,4.0,4.0,4.0,4.0,4.0
eval_30,5.0,5.0,5.0,5.0,5.0,5.0
eval_31,1.0,1.0,1.0,1.0,1.0,1.0
eval_32,2.0,2.0,2.0,2.0,2.0,2.0
eval_33,3.0,3.0,3.0,3.0,3.0,3.0
eval_34,4.0,4.0,4.0,4.0,4.0,4.0
eval_35,5.0,5.0,5.0,5.0,5.0,5.0
eval_36,1.0,1.0,1.0,1.0,1.0,1.0
eval_37,2.0,2.0,2.0,2.0,2.0,2.0
eval_38,3.0,3.0,3.0,3.0,3.0,3.0
eval_39,4.0,4.0,4.0,4.0,4.0,4.0
eval_40,5.0,5.0,5.0,5.0,5.0,5.0
eval_41,1.0,1.0,1.0,1.0,1.0,1.0
eval_42,2.0,2.0,2.0,2.0,2.0,2.0
eval_43,3.0,3.0,3.0,3.0,3.0,3.0
eval_44,4.0,4.0,4.0,4.0,4.0,4.0
eval_45,5.0,5.0,5.0,5.0,5.0,5.0
eval_46,1.0,1.0,1.0,1.0,1.0,1.0
eval_47,2.0,2.0,2.0,2.0,2.0,2.0
eval_48,3.0,3.0,3.0,3.0,3.0,3.0
eval_49,4.0,4.0,4.0,4.0,4.0,4.0
eval_50,5.0,5.0,5.0,5.0,5.0,5.0
