tweet_id,conversation_id,customer_message,gold_intent,predicted_intent,reply,evidence_used,correctness_score,groundedness_score,relevance_score,completeness_score,tone_score,unsupported_claims_score,overall_score,judge_decision,judge_reason
2343831,apple_004208,Got my new Three SIM card yay... and now the sim drawer won’t open on my phone... so O2 still have me! @AppleSupport can you help me with this? Looks like the sim isn’t fitting in the slot preventing it from opening! Do I come to your store to get it sorted?,device_hardware,calls_cellular,"Based on a similar Apple Support case, We'll help out. Let's start with the instructions here to try to resolve that No SIM message.",True,1,5,1,1,4,5,2.83,NEEDS_IMPROVEMENT,"The reply is generic, incomplete, and does not address the customer’s specific technical problem."
2958698,apple_045892,@AppleSupport I have restarted my phone and it is working now. Must be a bug?,other_unclear,other_unclear,You're welcome! Glad to hear that helped.,False,2,5,1,2,5,5,3.33,NEEDS_IMPROVEMENT,"The response is safe but fails to address the customer’s specific question about a bug, making it insufficiently relevant and incomplete."
2837178,apple_072786,"@AppleSupport Hi, I have an issue where I have set my Calendar app on Mac to start week on Monday but it randomly changes to start week on Sunday and I have to keep changing it back, can you please advise a fix?",app_problems,app_problems,"To narrow this down, We’d like to help with your Calendar app. When did this start? Which device are you using?",True,5,5,5,5,5,5,5.0,GOOD,"The reply is safe, relevant, grounded, and complete, making it an appropriate response for the situation."
2299407,apple_021948,@AppleSupport my son is being exposed to inappropriate ads in ad supported kid's games we download from the Apple Store. How can I prevent this?,app_store_downloads,app_store_downloads,Could you tell us whether the issue is with downloading or installing an app?,False,1,1,1,1,3,5,2.0,NEEDS_IMPROVEMENT,"The reply fails to address the customer's specific issue, is irrelevant, and provides no actionable guidance. It needs to be revised to offer concrete steps or escalation."
1804005,apple_053579,I wish @AppleSupport would let me download the previous iOS so that my phone can actually work normal again #SteveJobsWouldntAllowThis,ios_update,ios_update,"Could you tell us what is happening with the software update, such as downloading, installing, or failing?",True,2,5,2,2,5,5,3.5,NEEDS_IMPROVEMENT,"The reply is safe but generic, fails to address the specific technical issue, and lacks actionable guidance."
1651994,apple_041365,"@AppleSupport 2 weeks have passed and no update to fix the lag yet . Please allow old phones to revert back to iOS 10.3.3
#returntoiOS10.3.3",ios_update,ios_update,"Could you tell us what is happening with the software update, such as downloading, installing, or failing?",True,2,5,2,2,5,5,3.5,NEEDS_IMPROVEMENT,"The response is safe but generic, incomplete, and does not address the customer’s specific request to revert to iOS 10.3.3."
152892,apple_008217,@AppleSupport (2) recall to be the thing that caused it. I also downloaded the Anomal Crossing app but i dont think that was it. After the video my phone's message app has been acting up and nothing seems to fix it. I have not tried with wifi yet as I dont have wifi today. Tomorrow I will.,app_problems,wifi_connectivity,"Based on a similar Apple Support case, We know updating is important, we're happy to help. To clarify, are you attempting to install the public beta or iOS 11.1.2? Also, are you using a home, business, or public Wi-Fi network?",True,2,4,1,2,4,5,3.0,NEEDS_IMPROVEMENT,"The reply is generic, does not address the specific technical problem, and lacks actionable troubleshooting steps."
1773204,apple_063425,@AppleSupport @532936 Yeah that work around doesn’t work anymore!!,other_unclear,other_unclear,"Based on a similar Apple Support case, Here’s what you can do to work around the issue until it’s fixed in a future software update:",True,1,5,1,1,3,5,2.67,NEEDS_IMPROVEMENT,"The reply is incomplete, does not address the specific problem, and offers no actionable guidance, requiring a more detailed and relevant response."
1643279,apple_013282,@AppleSupport How do I allow no password for already purchased apps but require a password for any new apps (even free) in the App Store?,app_store_downloads,app_store_downloads,"Based on a similar Apple Support case, We'd love to help you get the App Store working again like you expect. Are you getting an error message when you try? Have you tried on a different Wi-Fi network? Let us know in DM and we'll get started.",True,1,4,1,1,4,5,2.67,NEEDS_IMPROVEMENT,"The reply fails to address the customer’s specific request about password settings for new apps, providing only unrelated generic troubleshooting steps."
2519462,apple_067506,@115858 why can’t I make outbound calls on either one my phones. WHAT THE FUCK,calls_cellular,calls_cellular,"Based on a similar Apple Support case, Let's work on this together! Which iOS version are we working with? You can check in Settings &gt; General &gt; About. Who is your wireless carrier? Please DM us.",True,5,5,5,4,4,5,4.67,GOOD,"The reply is safe, relevant, and grounded, providing useful troubleshooting steps without any incorrect or unsupported advice."
1745514,apple_006090,Yo @AppleSupport what the hell is this box on my screen https://t.co/WcHl8uyBaT,screen_display,screen_display,"Could you tell us what is happening with the screen, such as a black display, touch issue, or flickering?",False,5,5,5,4,5,5,4.8,GOOD,"The reply is safe, relevant, and appropriately seeks clarification in the absence of evidence, meeting the criteria for a GOOD response."
1978681,apple_027819,"@115858 @applesupport There is no damn way, my storage is full. I barely have anything on my phone.",other_unclear,other_unclear,"To narrow this down, Having the storage space you need is our goal. So we can get started looking into this, could you join us in DM and let us know which device you're seeing this with?",True,2,5,2,2,3,5,3.17,NEEDS_IMPROVEMENT,"The response is safe but generic, incomplete, and does not provide the customer with actionable guidance to resolve their storage issue."
1583811,apple_011121,Hey @AppleSupport. When are you going to update the software so my iPhone doesn’t do this - I️ every time I try to type an I?,ios_update,ios_update,"Based on a similar Apple Support case, We'd like to help you with that update. Let us know which iPhone you're attempting to update via DM. We'll go from there.",True,2,4,1,2,4,4,2.83,NEEDS_IMPROVEMENT,"The reply is generic, lacks specific guidance for the keyboard issue, and includes an unsupported claim."
1795402,apple_028365,Hi @AppleSupport - why does my phone no longer charge since updating to #iOS11 ? Presume you will fund a new device for me?!,battery_charging,battery_charging,"Based on a similar Apple Support case, We can help with battery life. Do you know what version of the iOS is on the device? If not, you can check under Settings &gt; General &gt; About &gt; Version.",True,2,5,2,2,4,5,3.33,NEEDS_IMPROVEMENT,"The reply is grounded but fails to address the customer's specific charging issue, making it incomplete and partially incorrect. It requires more targeted troubleshooting steps or escalation."
2914628,apple_037245,@AppleSupport It’s saying can’t connect to iMessage server. Try again,apple_id_icloud,apple_id_icloud,"Based on a similar Apple Support case, We've checked out server status here, and everything looks good on our end. Send us a DM.",True,5,5,5,4,5,5,4.83,GOOD,"The response is safe, relevant, grounded, and appropriately concise for the situation."
2593234,apple_064137,@AppleSupport I don’t understand why my phones keeps freezing EVERY 20 minutes and I’m not exaggerating 😕😕,app_problems,app_problems,Could you tell us which app is affected and what happens when you try to use it?,False,4,5,2,3,5,5,4.0,NEEDS_IMPROVEMENT,The response is safe but too generic and does not directly address the phone freezing issue. It could be improved by offering specific troubleshooting steps for system freezes.
