tweet_id,created_at,conversation_id,text,candidate_group,golden_intent,human_intent,human_notes,label_status,bulk_intent,bulk_confidence,bulk_reason,bulk_label_status,validation_status,review_number
2343831,Mon Nov 13 12:55:47 +0000 2017,apple_004208,Got my new Three SIM card yay... and now the sim drawer won’t open on my phone... so O2 still have me! @AppleSupport can you help me with this? Looks like the sim isn’t fitting in the slot preventing it from opening! Do I come to your store to get it sorted?,device_hardware,,device_hardware,Human validation based on customer message and available conversation context.,provisional_bulk,other_unclear,low,Automatically assigned using target message and conversation context; confidence=low.,bulk_provisional,human_reviewed,
2958698,Wed Nov 29 20:13:05 +0000 2017,apple_045892,@AppleSupport I have restarted my phone and it is working now. Must be a bug?,app_problems,,other_unclear,Human validation based on customer message and available conversation context.,provisional_bulk,ios_software_update,medium,Automatically assigned using target message and conversation context; confidence=medium.,bulk_provisional,human_reviewed,
2837178,Mon Nov 27 14:17:54 +0000 2017,apple_072786,"@AppleSupport Hi, I have an issue where I have set my Calendar app on Mac to start week on Monday but it randomly changes to start week on Sunday and I have to keep changing it back, can you please advise a fix?",other_unclear,,app_problems,Human validation based on customer message and available conversation context.,provisional_bulk,other_unclear,low,Automatically assigned using target message and conversation context; confidence=low.,bulk_provisional,human_reviewed,
2299407,Sun Nov 12 08:19:04 +0000 2017,apple_021948,@AppleSupport my son is being exposed to inappropriate ads in ad supported kid's games we download from the Apple Store. How can I prevent this?,app_store_downloads,,app_store_downloads,Human validation based on customer message and available conversation context.,provisional_bulk,other_unclear,low,Automatically assigned using target message and conversation context; confidence=low.,bulk_provisional,human_reviewed,
1804005,Fri Oct 13 16:10:19 +0000 2017,apple_053579,I wish @AppleSupport would let me download the previous iOS so that my phone can actually work normal again #SteveJobsWouldntAllowThis,app_store_downloads,,ios_software_update,Human validation based on customer message and available conversation context.,provisional_bulk,other_unclear,low,Automatically assigned using target message and conversation context; confidence=low.,bulk_provisional,human_reviewed,
1651994,Wed Nov 01 13:02:54 +0000 2017,apple_041365,"@AppleSupport 2 weeks have passed and no update to fix the lag yet . Please allow old phones to revert back to iOS 10.3.3
#returntoiOS10.3.3",ios_software_update,,ios_software_update,Human validation based on customer message and available conversation context.,provisional_bulk,ios_software_update,medium,Automatically assigned using target message and conversation context; confidence=medium.,bulk_provisional,human_reviewed,
152892,Fri Nov 24 16:18:19 +0000 2017,apple_008217,@AppleSupport (2) recall to be the thing that caused it. I also downloaded the Anomal Crossing app but i dont think that was it. After the video my phone's message app has been acting up and nothing seems to fix it. I have not tried with wifi yet as I dont have wifi today. Tomorrow I will.,app_store_downloads,,app_problems,Human validation based on customer message and available conversation context.,provisional_bulk,wifi_connectivity,high,Automatically assigned using target message and conversation context; confidence=high.,bulk_provisional,human_reviewed,
1773204,Wed Nov 08 03:46:45 +0000 2017,apple_063425,@AppleSupport @532936 Yeah that work around doesn’t work anymore!!,app_problems,,other_unclear,Human validation based on customer message and available conversation context.,provisional_bulk,ios_software_update,medium,Automatically assigned using target message and conversation context; confidence=medium.,bulk_provisional,human_reviewed,
1643279,Sun Nov 05 22:44:59 +0000 2017,apple_013282,@AppleSupport How do I allow no password for already purchased apps but require a password for any new apps (even free) in the App Store?,apple_id_icloud,,app_store_downloads,Human validation based on customer message and available conversation context.,provisional_bulk,app_store_downloads,high,Automatically assigned using target message and conversation context; confidence=high.,bulk_provisional,human_reviewed,
2519462,Wed Nov 15 23:44:28 +0000 2017,apple_067506,@115858 why can’t I make outbound calls on either one my phones. WHAT THE FUCK,calls_cellular,,calls_cellular,Human validation based on customer message and available conversation context.,provisional_bulk,calls_cellular,high,Automatically assigned using target message and conversation context; confidence=high.,bulk_provisional,human_reviewed,
1745514,Tue Nov 07 06:40:41 +0000 2017,apple_006090,Yo @AppleSupport what the hell is this box on my screen https://t.co/WcHl8uyBaT,other_unclear,,screen_display,Human validation based on customer message and available conversation context.,provisional_bulk,screen_display,high,Automatically assigned using target message and conversation context; confidence=high.,bulk_provisional,human_reviewed,
1978681,Tue Oct 31 19:21:25 +0000 2017,apple_027819,"@115858 @applesupport There is no damn way, my storage is full. I barely have anything on my phone.",app_problems,,other_unclear,Human validation based on customer message and available conversation context.,provisional_bulk,other_unclear,low,Automatically assigned using target message and conversation context; confidence=low.,bulk_provisional,human_reviewed,
1583811,Sat Nov 04 16:23:47 +0000 2017,apple_011121,Hey @AppleSupport. When are you going to update the software so my iPhone doesn’t do this - I️ every time I try to type an I?,ios_software_update,,ios_software_update,Human validation based on customer message and available conversation context.,provisional_bulk,other_unclear,low,Automatically assigned using target message and conversation context; confidence=low.,bulk_provisional,human_reviewed,
1795402,Thu Oct 12 09:22:09 +0000 2017,apple_028365,Hi @AppleSupport - why does my phone no longer charge since updating to #iOS11 ? Presume you will fund a new device for me?!,device_hardware,,battery_charging,Human validation based on customer message and available conversation context.,provisional_bulk,battery_charging,medium,Automatically assigned using target message and conversation context; confidence=medium.,bulk_provisional,human_reviewed,
2914628,Tue Nov 28 23:33:45 +0000 2017,apple_037245,@AppleSupport It’s saying can’t connect to iMessage server. Try again,wifi_connectivity,,apple_id_icloud,Human validation based on customer message and available conversation context.,provisional_bulk,apple_id_icloud,medium,Automatically assigned using target message and conversation context; confidence=medium.,bulk_provisional,human_reviewed,
2593234,Fri Nov 17 01:49:30 +0000 2017,apple_064137,@AppleSupport I don’t understand why my phones keeps freezing EVERY 20 minutes and I’m not exaggerating 😕😕,other_unclear,,app_problems,Human validation based on customer message and available conversation context.,provisional_bulk,ios_software_update,medium,Automatically assigned using target message and conversation context; confidence=medium.,bulk_provisional,human_reviewed,
293819,Sat Oct 07 04:52:35 +0000 2017,apple_047435,"@AppleSupport why I can’t download my videos from the links, I don’t need download from YouTube 
I stop watching my movie and drama ☹️💔",app_store_downloads,,app_problems,Human validation based on customer message and available conversation context.,provisional_bulk,app_problems,medium,Automatically assigned using target message and conversation context; confidence=medium.,bulk_provisional,human_reviewed,
2802437,Wed Nov 22 01:38:50 +0000 2017,apple_008359,@AppleSupport Other applications are the same. Horizontal position is problematic.,app_problems,,screen_display,Human validation based on customer message and available conversation context.,provisional_bulk,app_problems,medium,Automatically assigned using target message and conversation context; confidence=medium.,bulk_provisional,human_reviewed,
