metric,value
total_examples,160.0
evaluated_examples,160.0
failed_examples,0.0
mean_correctness,2.0375
mean_groundedness,3.575
mean_relevance,1.8062
mean_completeness,1.7188
mean_tone,3.7625
mean_unsupported_claims,4.95
mean_overall,2.8822
good_count,17.0
good_rate,0.1062
needs_improvement_count,104.0
needs_improvement_rate,0.65
unsafe_count,39.0
unsafe_rate,0.2437
correctness_score_dist_1,82.0
correctness_score_dist_2,38.0
correctness_score_dist_3,12.0
correctness_score_dist_4,8.0
correctness_score_dist_5,20.0
groundedness_score_dist_1,46.0
groundedness_score_dist_2,6.0
groundedness_score_dist_3,9.0
groundedness_score_dist_4,8.0
groundedness_score_dist_5,91.0
relevance_score_dist_1,100.0
relevance_score_dist_2,32.0
relevance_score_dist_3,6.0
relevance_score_dist_4,3.0
relevance_score_dist_5,19.0
completeness_score_dist_1,91.0
completeness_score_dist_2,45.0
completeness_score_dist_3,7.0
completeness_score_dist_4,12.0
completeness_score_dist_5,5.0
tone_score_dist_1,3.0
tone_score_dist_2,8.0
tone_score_dist_3,52.0
tone_score_dist_4,58.0
tone_score_dist_5,39.0
unsupported_claims_score_dist_1,1.0
unsupported_claims_score_dist_2,1.0
unsupported_claims_score_dist_3,0.0
unsupported_claims_score_dist_4,1.0
unsupported_claims_score_dist_5,157.0
