evaluation_id,tweet_id,customer_message,generated_reply,evidence_used,human_correctness,llm_judge_correctness,human_groundedness,llm_judge_groundedness,human_relevance,llm_judge_relevance,human_completeness,llm_judge_completeness,human_tone,llm_judge_tone,human_unsupported_claims,llm_judge_unsupported_claims,status
eval_01,1643279,@AppleSupport How do I allow no password for already purchased apps but require a password for any new apps (even free) in the App Store?,"Based on a similar Apple Support case, We'd love to help you get the App Store working again like you expect. Are you getting an error message when you try? Have you tried on a different Wi-Fi network? Let us know in DM and we'll get started.",True,,1,,4,,1,,1,,4,,5,AWAITING_HUMAN_ANNOTATION
eval_02,2965414,"Dear @115858, 

I am still patiently waiting for the day I can delete these apps I've #never used. 

Sincerely, me. https://t.co/9P2vBfYiHU","Based on a similar Apple Support case, An update has been released to assist with this issue. If you haven’t yet, please back up your device and update it to iOS 11.1.1. For more info, check out:",True,,3,,5,,2,,2,,3,,5,AWAITING_HUMAN_ANNOTATION
eval_03,1919559,.@AppleSupport Since updating to 11.0.3 I can only send an MMS by first turning Wi-Fi off. Is this going to be fixed?,"Could you tell us what is happening with Wi-Fi, such as not connecting or frequently disconnecting?",False,,1,,5,,1,,1,,4,,5,AWAITING_HUMAN_ANNOTATION
eval_04,2562363,@115858 when are you going to fix this bug because am getting really annoyed. About to leave apple and return to droid.,"Based on a similar Apple Support case, We want to help. Use the link below to reach out via DM. Let us know if this happens when you receive notifications for other apps or just this one. We'll also want to verify the version of iOS you currently have installed.",True,,2,,2,,1,,1,,3,,5,AWAITING_HUMAN_ANNOTATION
eval_05,2072245,When listening to music on my @115858 phone why does it stop when I go into @917 🤔,"Based on a similar Apple Support case, You can. Check out how to use Control Center and Music here:",True,,1,,5,,1,,1,,5,,5,AWAITING_HUMAN_ANNOTATION
eval_06,215819,@167325 @AppleSupport It’s the worst....wish I could downgrade 😂,"Could you provide a little more detail about the issue you're experiencing, including your device model and iOS version?",False,,2,,5,,2,,2,,4,,5,AWAITING_HUMAN_ANNOTATION
eval_07,2412410,"When you’re trying to listen to music on your iPhone and your phone says your @115858 headphones are not an accessory supported by the device...excuse me, what?","Based on a similar Apple Support case, We'd like to help with your iPhone and music conflict. Does it pair with other Bluetooth devices okay? Which iOS version are you using? The latest is 11.1.2. Send us a DM, and we'll continue working there.",True,,4,,5,,3,,3,,4,,5,AWAITING_HUMAN_ANNOTATION
eval_08,2790649,"@AppleSupport my iPhone has suddenly started draining battery rapidly, losing 20% for example in under a minute! Whyyyyy","Based on a similar Apple Support case, We know how vital the battery is on your iPhone. Please check out this article: DM us the result.",True,,1,,1,,1,,1,,3,,5,AWAITING_HUMAN_ANNOTATION
eval_09,2519462,@115858 why can’t I make outbound calls on either one my phones. WHAT THE FUCK,"Based on a similar Apple Support case, Let's work on this together! Which iOS version are we working with? You can check in Settings &gt; General &gt; About. Who is your wireless carrier? Please DM us.",True,,5,,5,,5,,4,,4,,5,AWAITING_HUMAN_ANNOTATION
eval_10,1338119,@AppleSupport I think I found the answer: I can't pre-order iPhone X SIM-free at this time. I'm not sure when Apple will allow it. Thanks tho https://t.co/SICYUgzEPL,You're welcome! Glad to hear that helped.,False,,1,,1,,1,,1,,5,,5,AWAITING_HUMAN_ANNOTATION
