tweet_id,text,human_intent,bulk_intent,bulk_confidence,bulk_reason
2343831,Got my new Three SIM card yay... and now the sim drawer won’t open on my phone... so O2 still have me! @AppleSupport can you help me with this? Looks like the sim isn’t fitting in the slot preventing it from opening! Do I come to your store to get it sorted?,device_hardware,other_unclear,low,Automatically assigned using target message and conversation context; confidence=low.
2958698,@AppleSupport I have restarted my phone and it is working now. Must be a bug?,other_unclear,ios_software_update,medium,Automatically assigned using target message and conversation context; confidence=medium.
2837178,"@AppleSupport Hi, I have an issue where I have set my Calendar app on Mac to start week on Monday but it randomly changes to start week on Sunday and I have to keep changing it back, can you please advise a fix?",app_problems,other_unclear,low,Automatically assigned using target message and conversation context; confidence=low.
2299407,@AppleSupport my son is being exposed to inappropriate ads in ad supported kid's games we download from the Apple Store. How can I prevent this?,app_store_downloads,other_unclear,low,Automatically assigned using target message and conversation context; confidence=low.
1804005,I wish @AppleSupport would let me download the previous iOS so that my phone can actually work normal again #SteveJobsWouldntAllowThis,ios_software_update,other_unclear,low,Automatically assigned using target message and conversation context; confidence=low.
152892,@AppleSupport (2) recall to be the thing that caused it. I also downloaded the Anomal Crossing app but i dont think that was it. After the video my phone's message app has been acting up and nothing seems to fix it. I have not tried with wifi yet as I dont have wifi today. Tomorrow I will.,app_problems,wifi_connectivity,high,Automatically assigned using target message and conversation context; confidence=high.
1773204,@AppleSupport @532936 Yeah that work around doesn’t work anymore!!,other_unclear,ios_software_update,medium,Automatically assigned using target message and conversation context; confidence=medium.
1583811,Hey @AppleSupport. When are you going to update the software so my iPhone doesn’t do this - I️ every time I try to type an I?,ios_software_update,other_unclear,low,Automatically assigned using target message and conversation context; confidence=low.
2593234,@AppleSupport I don’t understand why my phones keeps freezing EVERY 20 minutes and I’m not exaggerating 😕😕,app_problems,ios_software_update,medium,Automatically assigned using target message and conversation context; confidence=medium.
2802437,@AppleSupport Other applications are the same. Horizontal position is problematic.,screen_display,app_problems,medium,Automatically assigned using target message and conversation context; confidence=medium.
2296245,"Hi @AppleSupport, for a month now my camera settings keep resetting to whatever they want, even though my ‘Preserve Settings’ are all on. 🙄 https://t.co/oRa4rLmYuN",app_problems,other_unclear,low,Automatically assigned using target message and conversation context; confidence=low.
1636580,@AppleSupport I think that did it- thank you!,other_unclear,ios_software_update,medium,Automatically assigned using target message and conversation context; confidence=medium.
188375,@AppleSupport I have not touched my phone to summon Siri nor anybody spoke hey Siri around.,other_unclear,wifi_connectivity,medium,Automatically assigned using target message and conversation context; confidence=medium.
2261521,"@116333 @AppleSupport @144811 Every time I️ connect my phone via USB this song starts, this is getting really old! Why can’t iOS remember what I was listening to last and start there? Any car, any iPhone, any iOS, Please fix this, it’s killing me! https://t.co/yxtLKBdYpn",apple_music_itunes,other_unclear,low,Automatically assigned using target message and conversation context; confidence=low.
1216323,@AppleSupport It pops up every time I look at my phone after I come out of the subway. Global setting? I just installed iOS and haven’t looked at new features yet but I wish default wasn’t to bother me repeatedly,ios_software_update,other_unclear,low,Automatically assigned using target message and conversation context; confidence=low.
1027597,"So @115858 when are yall gunna fix this update, because if my phone freezes for 2 mins while im in traffic ONE MORE TIME !!!!!!",device_hardware,ios_software_update,medium,Automatically assigned using target message and conversation context; confidence=medium.
2072245,When listening to music on my @115858 phone why does it stop when I go into @917 🤔,other_unclear,apple_music_itunes,high,Automatically assigned using target message and conversation context; confidence=high.
1340829,@AppleSupport secured #iPhoneX at launch but ONLY w/a select carrier. Yet was told by Apple #Retail I could buy SIM-free like iPhone8. How? https://t.co/l4TpVlz0dE,calls_cellular,other_unclear,low,Automatically assigned using target message and conversation context; confidence=low.
2562363,@115858 when are you going to fix this bug because am getting really annoyed. About to leave apple and return to droid.,app_problems,ios_software_update,medium,Automatically assigned using target message and conversation context; confidence=medium.
1338119,@AppleSupport I think I found the answer: I can't pre-order iPhone X SIM-free at this time. I'm not sure when Apple will allow it. Thanks tho https://t.co/SICYUgzEPL,calls_cellular,other_unclear,low,Automatically assigned using target message and conversation context; confidence=low.
2237178,"My phone isn't downloading apps its always says ""waiting"" ben that way for days anyone know what I can do? @AppleSupport",app_problems,wifi_connectivity,medium,Automatically assigned using target message and conversation context; confidence=medium.
747792,@AppleSupport Done!,other_unclear,ios_software_update,medium,Automatically assigned using target message and conversation context; confidence=medium.
215819,@167325 @AppleSupport It’s the worst....wish I could downgrade 😂,ios_software_update,battery_charging,medium,Automatically assigned using target message and conversation context; confidence=medium.
40519,@AppleSupport hi so I got an email my account was locked. But I’m pretty sure it was a fake.,apple_id_icloud,other_unclear,low,Automatically assigned using target message and conversation context; confidence=low.
2863559,@AppleSupport my iPhone 6s Plus keeps crashing since new IOS. Tried re installing etc but no luck...,ios_software_update,audio_speaker,medium,Automatically assigned using target message and conversation context; confidence=medium.
1752110,"@AppleSupport iPhone 7, still not downloading, no issues with my account etc",apple_id_icloud,apple_music_itunes,medium,Automatically assigned using target message and conversation context; confidence=medium.
1924839,Is anybody looking into the mail and messages apps syncing issues with @133941 accounts or are we doomed? @115858,app_problems,other_unclear,low,Automatically assigned using target message and conversation context; confidence=low.
