case_id,customer_message,system_intent,historical_customer_message,historical_response,system_reply,system_decision,system_escalation_reason,human_intent,intent_correct,correctness_1_5,groundedness_1_5,relevance_1_5,completeness_1_5,tone_1_5,unsupported_claims_1_5,escalation_appropriateness_1_5,evidence_supported,overall_comment
case_01,Got my new Three SIM card yay... and now the sim drawer won’t open on my phone... so O2 still have me! @AppleSupport can you help me with this? Looks like the sim isn’t fitting in the slot preventing it from opening! Do I come to your store to get it sorted?,device_hardware,Historical case for device_hardware,@208757 We'll do what we can to get that working so you can go back to enjoying your iPhone. Are you not getting cellular data in just that specific location?,"Could you provide more details about the hardware issue, including what happens when you use the device?",AUTO_HANDLE,,Stuck SIM tray after inserting a new Three SIM; wants to know whether to visit an Apple store.,Yes,3,5,4,2,5,5,2,Yes,"The reply recognizes a hardware issue and asks for details, but it does not address the specific stuck SIM tray or answer whether the customer should visit a store."
case_02,@AppleSupport I have restarted my phone and it is working now. Must be a bug?,other_unclear,Historical case for other_unclear,@451763 Let's help troubleshoot the account itself.  Please check out the steps here: https://t.co/Jpr0POLgCg and keep us posted.,"Glad to hear restarting resolved it! If the issue reoccurs or appears to be a software bug, let us know what iOS version you're running so we can look into it.",AUTO_HANDLE,,"A phone problem was resolved by restarting, and the customer wonders whether it was a bug.",No,4,5,5,4,5,5,5,Yes,"The reply appropriately acknowledges that restarting fixed the issue and asks for the iOS version if it recurs, although the system intent 'other_unclear' is not very specific to a possible software bug."
case_03,"@AppleSupport Hi, I have an issue where I have set my Calendar app on Mac to start week on Monday but it randomly changes to start week on Sunday and I have to keep changing it back, can you please advise a fix?",app_problems,Historical case for app_problems,@776021 Thanks for bringing this to our attention. Have you tried restarting your computer to see if the issue persists? https://t.co/GDrqU22YpT,"Could you tell us what occurs when you use the app, including any error messages you see?",AUTO_HANDLE,,Mac Calendar keeps reverting the week start from Monday to Sunday.,Yes,3,5,4,2,5,5,3,Yes,"The reply asks for more details about the app behavior, which is relevant, but it does not address the specific Calendar setting that keeps reverting."
case_04,@AppleSupport my son is being exposed to inappropriate ads in ad supported kid's games we download from the Apple Store. How can I prevent this?,app_store_downloads,Historical case for app_store_downloads,@742751 Let's help get you back to downloading those applications in your App Store. Is this issue happening over cellular data as well as Wi-Fi? Do you ever get any error message after a certain amount of time waiting? Have you tried restarting your device yet?,Could you tell us whether the issue is with downloading or installing an app?,AUTO_HANDLE,,The customer wants to prevent inappropriate ads appearing in games used by their son.,No,2,5,2,1,5,5,2,Yes,"The reply treats the problem as downloading or installing an app, while the customer is asking about inappropriate in-game advertising and how to prevent it."
case_05,I wish @AppleSupport would let me download the previous iOS so that my phone can actually work normal again #SteveJobsWouldntAllowThis,ios_update,Historical case for ios_update,@470289 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,"Could you tell us what is happening with the iOS update, such as downloading, installing, or failing?",AUTO_HANDLE,,The customer wants to download an earlier iOS version because the current phone is not working normally.,Yes,3,5,4,2,5,5,3,Yes,The reply recognizes an iOS-update context but asks about downloading or installing the update instead of addressing the request to downgrade to a previous iOS version.
case_06,@AppleSupport How do I allow no password for already purchased apps but require a password for any new apps (even free) in the App Store?,app_store_downloads,Historical case for app_store_downloads,@192517 We'd be glad to look into this with you. Does this happen with every download? Let us know in DM to get started. https://t.co/GDrqU22YpT,"Based on a similar Apple Support case, We want you to be able to check out all the latest new apps in the App Store. If you're unable to download new apps, what happens when you attempt to do so? Do you receive any error message?",AUTO_HANDLE,,The customer asks how to require passwords for new/free App Store apps while not requiring them for already purchased apps.,No,2,5,2,1,5,5,2,Yes,"The response assumes the customer cannot download apps and asks about an error, but the actual request is about App Store password settings."
case_07,Hi @AppleSupport - why does my phone no longer charge since updating to #iOS11 ? Presume you will fund a new device for me?!,battery_charging,Historical case for battery_charging,@671521 We're here for you. Which iPhone are you using and what version of the iOS? You can check from Settings &gt; General &gt; About.,"Based on a similar Apple Support case, We can help with battery life. Do you know what version of the iOS is on the device? If not, you can check under Settings &gt; General &gt; About &gt; Version.",AUTO_HANDLE,,The iPhone stopped charging after updating to iOS 11.,Yes,3,5,4,3,5,5,4,Yes,"The response stays in the battery/charging area and asks for the iOS version, but it does not directly troubleshoot the reported failure to charge after the update."
case_08,"@AppleSupport why I can’t download my videos from the links, I don’t need download from YouTube 
I stop watching my movie and drama ☹️💔",app_problems,Historical case for app_problems,@200233 We want to help you with this. What exactly happens when you're using the YouTube app? Which iOS version are you running on your iPhone? You can check here: Settings &gt; General &gt; About &gt; Version.,"Based on a similar Apple Support case, We want to help you with this. What exactly happens when you're using the YouTube app? Which iOS version are you running on your iPhone? You can check here: Settings &gt; General &gt; About &gt; Version.",AUTO_HANDLE,,The customer cannot download videos from links and explicitly says they do not need YouTube downloads.,No,2,5,2,1,5,5,2,Yes,The reply focuses on using the YouTube app even though the customer explicitly says the problem is downloading videos from links and not YouTube.
case_09,@AppleSupport unable to download music/install apps on iPad for months. Asks for me to use verification code from iPhone but doesn't work?,apple_id_icloud,Historical case for apple_id_icloud,@462507 Have you tried any troubleshooting steps so far? Which country are you located within? Please DM us here: https://t.co/GDrqU22YpT,"Could you tell us whether the issue is with signing in, your password, or iCloud?",AUTO_HANDLE,,The customer cannot download music or install apps because verification through an iPhone code does not work.,No,3,5,4,3,5,5,3,Yes,"The reply asks about signing in, passwords, or iCloud, which is somewhat related to verification, but it does not directly address the App Store download problem or failed verification code."
case_10,@AppleSupport I think that did it- thank you!,other_unclear,Historical case for other_unclear,@530789 We want to help. Have you had the chance to restart your device? To restart your iOS device: https://t.co/JWOTqcWcbG,You're welcome! Glad to hear that helped. Let us know if you need anything else.,AUTO_HANDLE,,The customer says the previous help worked and thanks support.,Yes,5,5,5,5,5,5,5,Yes,"The customer confirms the issue was resolved, so the brief thank-you response is fully appropriate and complete."
