metric,value
total_queries_evaluated,160.0
auto_handle_count,0.0
auto_handle_rate,0.0
escalation_count,160.0
escalation_rate,1.0
intent_accuracy,0.8875
intent_macro_f1,0.8663
intent_weighted_f1,0.8888
system_failure_count,18.0
system_failure_rate,0.1125
intent_error_count,18.0
retrieval_failure_count,0.0
unsafe_evidence_count,160.0
evidence_rejected_count,160.0
insufficient_evidence_count,0.0
ungrounded_reply_count,0.0
unsupported_claim_count,0.0
unsupported_claim_rate,0.0
escalation_case_count,1.0
no_failure_count,0.0
evidence_used_count,0.0
evidence_used_rate,0.0
evidence_not_used_count,160.0
evidence_not_used_rate,1.0
average_evidence_relevance,0.0
average_evidence_quality,0.0
average_problem_match,0.0
top1_evidence_safe_count,0.0
top1_evidence_safe_rate,0.0
top1_evidence_supported_count,0.0
top1_evidence_supported_rate,0.0
grounded_count,160.0
grounded_rate,1.0
evidence_supported_count,0.0
evidence_supported_rate,0.0
safe_to_answer_count,159.0
safe_to_answer_rate,0.9938
insufficient_evidence_rate,0.0
count_troubleshooting,0.0
count_clarification_question,151.0
count_request_for_details,0.0
count_insufficient_evidence,0.0
count_escalation,1.0
primary_failure_category_unsafe_evidence,142.0
primary_failure_category_intent_error,18.0
escalation_reason_insufficient_evidence,158.0
escalation_reason_sensitive_transaction,1.0
escalation_reason_account_security,1.0
