case_id,customer_message,system_intent,historical_customer_message,historical_response,system_reply,system_decision,system_escalation_reason,human_intent,intent_correct,correctness_1_5,groundedness_1_5,relevance_1_5,completeness_1_5,tone_1_5,unsupported_claims_1_5,escalation_appropriateness_1_5,evidence_supported,overall_comment
case_01,Got my new Three SIM card yay... and now the sim drawer won’t open on my phone... so O2 still have me! @AppleSupport can you help me with this? Looks like the sim isn’t fitting in the slot preventing it from opening! Do I come to your store to get it sorted?,device_hardware,Historical case for device_hardware,@208757 We'll do what we can to get that working so you can go back to enjoying your iPhone. Are you not getting cellular data in just that specific location?,"Could you provide more details about the hardware issue, including what happens when you use the device?",AUTO_HANDLE,,,,,,,,,,,,
case_02,@AppleSupport I have restarted my phone and it is working now. Must be a bug?,other_unclear,Historical case for other_unclear,@451763 Let's help troubleshoot the account itself.  Please check out the steps here: https://t.co/Jpr0POLgCg and keep us posted.,"Glad to hear restarting resolved it! If the issue reoccurs or appears to be a software bug, let us know what iOS version you're running so we can look into it.",AUTO_HANDLE,,,,,,,,,,,,
case_03,"@AppleSupport Hi, I have an issue where I have set my Calendar app on Mac to start week on Monday but it randomly changes to start week on Sunday and I have to keep changing it back, can you please advise a fix?",app_problems,Historical case for app_problems,@776021 Thanks for bringing this to our attention. Have you tried restarting your computer to see if the issue persists? https://t.co/GDrqU22YpT,"Could you tell us what occurs when you use the app, including any error messages you see?",AUTO_HANDLE,,,,,,,,,,,,
case_04,@AppleSupport my son is being exposed to inappropriate ads in ad supported kid's games we download from the Apple Store. How can I prevent this?,app_store_downloads,Historical case for app_store_downloads,@742751 Let's help get you back to downloading those applications in your App Store. Is this issue happening over cellular data as well as Wi-Fi? Do you ever get any error message after a certain amount of time waiting? Have you tried restarting your device yet?,Could you tell us whether the issue is with downloading or installing an app?,AUTO_HANDLE,,,,,,,,,,,,
case_05,I wish @AppleSupport would let me download the previous iOS so that my phone can actually work normal again #SteveJobsWouldntAllowThis,ios_update,Historical case for ios_update,@470289 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,"Could you tell us what is happening with the iOS update, such as downloading, installing, or failing?",AUTO_HANDLE,,,,,,,,,,,,
case_06,@AppleSupport How do I allow no password for already purchased apps but require a password for any new apps (even free) in the App Store?,app_store_downloads,Historical case for app_store_downloads,@192517 We'd be glad to look into this with you. Does this happen with every download? Let us know in DM to get started. https://t.co/GDrqU22YpT,"Based on a similar Apple Support case, We want you to be able to check out all the latest new apps in the App Store. If you're unable to download new apps, what happens when you attempt to do so? Do you receive any error message?",AUTO_HANDLE,,,,,,,,,,,,
case_07,Hi @AppleSupport - why does my phone no longer charge since updating to #iOS11 ? Presume you will fund a new device for me?!,battery_charging,Historical case for battery_charging,@671521 We're here for you. Which iPhone are you using and what version of the iOS? You can check from Settings &gt; General &gt; About.,"Based on a similar Apple Support case, We can help with battery life. Do you know what version of the iOS is on the device? If not, you can check under Settings &gt; General &gt; About &gt; Version.",AUTO_HANDLE,,,,,,,,,,,,
case_08,"@AppleSupport why I can’t download my videos from the links, I don’t need download from YouTube 
I stop watching my movie and drama ☹️💔",app_problems,Historical case for app_problems,@200233 We want to help you with this. What exactly happens when you're using the YouTube app? Which iOS version are you running on your iPhone? You can check here: Settings &gt; General &gt; About &gt; Version.,"Based on a similar Apple Support case, We want to help you with this. What exactly happens when you're using the YouTube app? Which iOS version are you running on your iPhone? You can check here: Settings &gt; General &gt; About &gt; Version.",AUTO_HANDLE,,,,,,,,,,,,
case_09,@AppleSupport unable to download music/install apps on iPad for months. Asks for me to use verification code from iPhone but doesn't work?,apple_id_icloud,Historical case for apple_id_icloud,@462507 Have you tried any troubleshooting steps so far? Which country are you located within? Please DM us here: https://t.co/GDrqU22YpT,"Could you tell us whether the issue is with signing in, your password, or iCloud?",AUTO_HANDLE,,,,,,,,,,,,
case_10,@AppleSupport I think that did it- thank you!,other_unclear,Historical case for other_unclear,@530789 We want to help. Have you had the chance to restart your device? To restart your iOS device: https://t.co/JWOTqcWcbG,You're welcome! Glad to hear that helped. Let us know if you need anything else.,AUTO_HANDLE,,,,,,,,,,,,
case_11,Is anyone else’s iPhone making a high pitched alarm noise? It sounds like a smoke detector but from the speaker of my phone? @AppleSupport,audio_speaker,Historical case for audio_speaker,"@150201 We'd love to help with this. First, we need some details: does the speaker work when listening to music or watching a video? What about while using speakerphone? Let us know more in DM, including which version of the operating system, and we'll get started. https://t.co/GDrqU22YpT","Could you tell us whether the issue is with the speaker, microphone, or overall audio?",AUTO_HANDLE,,,,,,,,,,,,
case_12,@AppleSupport I have not touched my phone to summon Siri nor anybody spoke hey Siri around.,other_unclear,Historical case for other_unclear,@467963 Let's check out the steps here: https://t.co/xOrdgHyyiA under 'If Hey Siri doesn't work'. Let us know how it goes.,"Based on a similar Apple Support case, Great question! Check out this article to help with using ""Hey Siri"" on your iPhone X: If you have any further questions, feel free to reach out to us and we'll be happy to help!",AUTO_HANDLE,,,,,,,,,,,,
case_13,"@116333 @AppleSupport @144811 Every time I️ connect my phone via USB this song starts, this is getting really old! Why can’t iOS remember what I was listening to last and start there? Any car, any iPhone, any iOS, Please fix this, it’s killing me! https://t.co/yxtLKBdYpn",apple_music_itunes,Historical case for apple_music_itunes,"@258640 We'd love to help you with making a backup. So that we're sure to be on the right path, please tell us which device you're trying to back up, and which iOS version is installed on it currently. Also, is this device connected via Wi-Fi, or via USB?","Based on a similar Apple Support case, We’re investigating and will update our System Status page as more info becomes available:",AUTO_HANDLE,,,,,,,,,,,,
case_14,@AppleSupport It pops up every time I look at my phone after I come out of the subway. Global setting? I just installed iOS and haven’t looked at new features yet but I wish default wasn’t to bother me repeatedly,ios_update,Historical case for ios_update,@482983 We are here to help. Let's try the steps listed in this article. https://t.co/xU1AGHStV6,"Based on a similar Apple Support case, We are here to help. Let's try the steps listed in this article.",AUTO_HANDLE,,,,,,,,,,,,
case_15,"So @115858 when are yall gunna fix this update, because if my phone freezes for 2 mins while im in traffic ONE MORE TIME !!!!!!",device_hardware,Historical case for device_hardware,@564630 We'd like to see how we can help. Let us know which iOS version you're on and we'll go from there.,"Could you provide more details about the hardware issue, including what happens when you use the device?",AUTO_HANDLE,,,,,,,,,,,,
case_16,@AppleSupport secured #iPhoneX at launch but ONLY w/a select carrier. Yet was told by Apple #Retail I could buy SIM-free like iPhone8. How? https://t.co/l4TpVlz0dE,calls_cellular,Historical case for calls_cellular,"@481404 Great question. What country are you in? Meet up with us in a DM, we'll continue there. https://t.co/GDrqU22YpT","Could you tell us whether the issue is with making calls, cellular data, or getting a signal?",AUTO_HANDLE,,,,,,,,,,,,
case_17,@115858 when are you going to fix this bug because am getting really annoyed. About to leave apple and return to droid.,app_problems,Historical case for app_problems,@679751 We want to help. Use the link below to reach out via DM. Let us know if this happens when you receive notifications for other apps or just this one. We'll also want to verify the version of iOS you currently have installed. https://t.co/GDrqU22YpT,"Based on a similar Apple Support case, We want to help. Use the link below to reach out via DM. Let us know if this happens when you receive notifications for other apps or just this one. We'll also want to verify the version of iOS you currently have installed.",AUTO_HANDLE,,,,,,,,,,,,
case_18,@AppleSupport I think I found the answer: I can't pre-order iPhone X SIM-free at this time. I'm not sure when Apple will allow it. Thanks tho https://t.co/SICYUgzEPL,calls_cellular,Historical case for calls_cellular,"@141075 Thanks for reaching out. You may need to try another appropriately sized  SIM card. Your carrier may be able to help. Check out this article for more details: 

https://t.co/Mhw9pFAK08",You're welcome! Glad to hear that helped. Let us know if you need anything else.,AUTO_HANDLE,,,,,,,,,,,,
case_19,@167325 @AppleSupport It’s the worst....wish I could downgrade 😂,ios_update,Historical case for ios_update,"@606530 We can help. Check out this article on the Accessibility feature called Reachability: https://t.co/MWyrI4JKD1

Let us know if you need any further assistance.","Could you tell us what is happening with the iOS update, such as downloading, installing, or failing?",AUTO_HANDLE,,,,,,,,,,,,
case_20,@AppleSupport hi so I got an email my account was locked. But I’m pretty sure it was a fake.,apple_id_icloud,Historical case for apple_id_icloud,@271163 Thanks for reaching out. This email is not from us. You can learn more about these and other suspicious messages here: https://t.co/LNMCdqt6fD,This may involve account security or sensitive information. Please contact official Apple Support directly so a specialist can assist you.,ESCALATE,account_security,,,,,,,,,,,
case_21,Is anybody looking into the mail and messages apps syncing issues with @133941 accounts or are we doomed? @115858,app_problems,,,Could you tell us which app is affected and what happens when you try to use it?,AUTO_HANDLE,,,,,,,,,,,,
case_22,"@AppleSupport Well, hum, after a day with the latest version, there is not much progress. Unplugged the phone at 9 AM, it is now 4:30 PM https://t.co/YpURUCwaQZ",battery_charging,Historical case for battery_charging,We'd love to partner together and get to the bottom of what you're experiencing on your iPhone. Which iOS version is installed? You'll find that in Settings &gt; General &gt; About.,"Based on a similar Apple Support case, We'd love to partner together and get to the bottom of what you're experiencing on your iPhone. Which iOS version is installed? You'll find that in Settings &gt; General &gt; About.",AUTO_HANDLE,,,,,,,,,,,,
case_23,@115858 what should I do now that your shitty headphones broke in my phone ? https://t.co/iF0pvfveRp,audio_speaker,Historical case for audio_speaker,@821249 We're happy to help. Let's take a look at this further for you. Reach out to us in DM. https://t.co/GDrqU22YpT,"Based on a similar Apple Support case, We want to help. Let's force re-start it. This article explains how:",AUTO_HANDLE,,,,,,,,,,,,
case_24,@115858 can u plz help me my phone keep saying it has headphones in but there’s no headphones in!!!!,audio_speaker,Historical case for audio_speaker,We're here to help. We have steps to resolve this. Check out this article and let us know if it works.,"Based on a similar Apple Support case, We're here to help. We have steps to resolve this. Check out this article and let us know if it works.",AUTO_HANDLE,,,,,,,,,,,,
case_25,@717638 @115858 My phone doesn't even ring anymore. It just pops up that I've missed a call,calls_cellular,,,"To narrow this down, Okay. Let's work together to get that resolved. Have you tried to clear your call list completely?",AUTO_HANDLE,,,,,,,,,,,,
case_26,@AppleSupport why do you keep taking my money!!!! Apple hold keeps taking $1 every other week from me!!!!!!,other_unclear,Historical case for other_unclear,Here’s what you can do to work around the issue until it’s fixed in a future software update:,"Based on a similar Apple Support case, Here’s what you can do to work around the issue until it’s fixed in a future software update:",AUTO_HANDLE,,,,,,,,,,,,
case_27,@AppleSupport It’s the only WiFi I connect to so I can’t really answer that,wifi_connectivity,Historical case for wifi_connectivity,"We're here for you. Let us know what happens when you try, when the issue first began, and the device you're trying to connect to Wi-Fi with. We'll work together to investigate so we can get you connected again.","Based on a similar Apple Support case, We're here for you. Let us know what happens when you try, when the issue first began, and the device you're trying to connect to Wi-Fi with. We'll work together to investigate so we can get you connected again.",AUTO_HANDLE,,,,,,,,,,,,
case_28,iPhone 6s is officially one year old today... and my Touch ID just randomly stopped working @115858 #helpme #forgotallmypasswords,device_hardware,Historical case for device_hardware,"We're here to help. What specifically is going on with your phone? Additionally, if you can access it, what version of iOS are you running under Settings &gt; General &gt; About?","Based on a similar Apple Support case, We're here to help. What specifically is going on with your phone? Additionally, if you can access it, what version of iOS are you running under Settings &gt; General &gt; About?",AUTO_HANDLE,,,,,,,,,,,,
case_29,The act of trying to get data from one @115858 iPhone to another (my new one) must be one of the most complicated and frustrating technological processes I have encountered in a long time. There must be a simpler way.,other_unclear,,,Could you provide a little more detail about the issue you're experiencing?,AUTO_HANDLE,,,,,,,,,,,,
