evaluation_id,tweet_id,customer_message,gold_intent,predicted_intent,generated_reply,evidence_text,system_escalation,judge_correctness,judge_groundedness,judge_relevance,judge_completeness,judge_tone,judge_unsupported_claims,judge_overall,primary_failure_category,all_failure_categories,failure_reason,recommended_fix,judge_status
eval_01,1160540,@AppleSupport can you help me figure out the battery health of my iPhone 6s? It typically lasts only for a few hrs ):,battery_charging,battery_charging,"Based on a similar Apple Support case, You've come to the right place! We know how important it is to have your iPhone battery performing its best. Tell us, what's happening with the battery performance? Please, follow the steps in this article and s",@192517 We'd be glad to look into this with you. Does this happen with every download? Let us know in DM to get started. https://t.co/GDrqU22YpT,AUTO_HANDLE,1.0,1.0,2.0,1.0,5.0,1.0,1.83,D,A+D,Unsupported claims detected (judge score=1.0),Improve grounding check or evidence quality to prevent hallucinated facts,success
eval_02,2736443,WHY ARE MY MESSAGES COMING FROM MY EMAIL WTF @AppleSupport,other_unclear,other_unclear,Could you provide a little more detail about the issue you're experiencing?,"@696942 An update has been released to assist with this issue. If you haven’t yet, please back up your device and update it to iOS 11.1.1. For more info, check out: https://t.co/4f8hwT5to6",AUTO_HANDLE,1.0,1.0,1.0,1.0,4.0,5.0,2.17,A,A,Reply addresses the wrong sub-problem (generic response passed evidence filter),Add specificity bonus/penalty in score_evidence_candidate(); tighten minimum specificity threshold,success
eval_03,689396,@AppleSupport since the last 2 updates the battery on my 6s drains within an hour .current update 11.1.2 has not fixed either any ideas,ios_update,battery_charging,"Based on a similar Apple Support case, We'd like to help you with that battery drain. Let us know which device you're using and the version of iOS 11 installed via DM.",@691750 We understand your concerns with Wi-Fi and we'll be happy to shed some light on what's going on. iOS 11 changes some behaviors within the Control Center. See https://t.co/G7BHuQnDS6 for details on Wi-Fi and Bluetooth control after the update.,AUTO_HANDLE,1.0,1.0,1.0,1.0,3.0,1.0,1.33,H,A+B+D+H,Customer indicated resolved; reply is appropriate acknowledgement,No fix needed — correctly handled resolved message,success
eval_04,2237309,"@AppleSupport Well, hum, after a day with the latest version, there is not much progress. Unplugged the phone at 9 AM, it is now 4:30 PM https://t.co/YpURUCwaQZ",battery_charging,battery_charging,"Based on a similar Apple Support case, We'd love to partner together and get to the bottom of what you're experiencing on your iPhone. Which iOS version is installed? You'll find that in Settings &gt; General &gt; About.",@679751 We want to help. Use the link below to reach out via DM. Let us know if this happens when you receive notifications for other apps or just this one. We'll also want to verify the version of iOS you currently have installed. https://t.co/GDrqU,AUTO_HANDLE,1.0,1.0,1.0,1.0,3.0,1.0,1.33,D,A+D,Unsupported claims detected (judge score=1.0),Improve grounding check or evidence quality to prevent hallucinated facts,success
eval_05,585903,@115858 I didn't buy a damn iPhone for it to respring everytime I tap on the screen. Get your shit together. #iPhone #Respring #SoftReboot,ios_update,screen_display,"Based on a similar Apple Support case, We're here for you. Have you tried restarting your iPhone since this issue started?","@362691 Which device and version of iOS are you using? Check Settings &gt; General &gt; About, and let us know in DM. https://t.co/GDrqU22YpT",AUTO_HANDLE,3.0,1.0,4.0,2.0,4.0,1.0,2.5,B,B+D,"Intent misclassification: gold=ios_update, pred=screen_display",Investigate classifier boundary between ios_update and screen_display,success
eval_06,1924839,Is anybody looking into the mail and messages apps syncing issues with @133941 accounts or are we doomed? @115858,app_problems,app_problems,Could you provide a little more detail about the issue you're experiencing?,"@606530 We can help. Check out this article on the Accessibility feature called Reachability: https://t.co/MWyrI4JKD1

Let us know if you need any further assistance.",AUTO_HANDLE,1.0,5.0,2.0,1.0,5.0,5.0,3.17,J,J,Grounded and polite but correctness=1.0; may reflect judge strictness on clarification replies,Review manually; judge may penalize warranted clarifications,success
eval_07,40519,@AppleSupport hi so I got an email my account was locked. But I’m pretty sure it was a fake.,apple_id_icloud,apple_id_icloud,"Could you tell us whether the issue is with signing in, your password, or iCloud?","@801670 Having your headphones working is certainly important and we'll be happy to help! Which iPhone are you experiencing this on? Also, which version of iOS is currently installed? Have you tried other headphones too? If not, give that a try &amp;",ESCALATE,1.0,5.0,3.0,2.0,4.0,5.0,3.33,J,J,Grounded and polite but correctness=1.0; may reflect judge strictness on clarification replies,Review manually; judge may penalize warranted clarifications,success
eval_08,2284493,@115858 stop turning my bluetooth on every time my phone restarts.,other_unclear,other_unclear,Could you provide a little more detail about the issue you're experiencing?,@201006 We know how vital the battery is &amp; we'll help. Please complete these steps: https://t.co/TpjqFp3jxD Please DM us the result. https://t.co/GDrqU22YpT,AUTO_HANDLE,1.0,1.0,1.0,1.0,4.0,5.0,2.17,A,A,Reply addresses the wrong sub-problem (generic response passed evidence filter),Add specificity bonus/penalty in score_evidence_candidate(); tighten minimum specificity threshold,success
eval_09,2343831,Got my new Three SIM card yay... and now the sim drawer won’t open on my phone... so O2 still have me! @AppleSupport can you help me with this? Looks like the sim isn’t fitting in the slot preventing it from opening! Do I come to your store to get it,device_hardware,calls_cellular,"Could you tell us what is happening with the SIM card, tray, or SIM slot?","@718408 We'd love to help. Let's begin by restarting your iPhone. This will refresh network connectivity as well as the iPhone's software. Restart your iPhone: https://t.co/OWRDHWSt4h
Let us know how that goes?",AUTO_HANDLE,1.0,1.0,1.0,1.0,3.0,5.0,2.0,H,B+H,Customer indicated issue is resolved but reply asks diagnostic questions instead of acknowledging,Ensure is_message_resolved() triggers acknowledgement reply path,success
eval_10,2958698,@AppleSupport I have restarted my phone and it is working now. Must be a bug?,other_unclear,other_unclear,You're welcome! Glad to hear that helped.,"@141075 Thanks for reaching out. You may need to try another appropriately sized  SIM card. Your carrier may be able to help. Check out this article for more details: 

https://t.co/Mhw9pFAK08",AUTO_HANDLE,1.0,1.0,1.0,1.0,4.0,5.0,2.17,A,A,Reply addresses the wrong sub-problem (generic response passed evidence filter),Add specificity bonus/penalty in score_evidence_candidate(); tighten minimum specificity threshold,success
eval_11,2837178,"@AppleSupport Hi, I have an issue where I have set my Calendar app on Mac to start week on Monday but it randomly changes to start week on Sunday and I have to keep changing it back, can you please advise a fix?",app_problems,app_problems,Could you tell us which app is affected and what happens when you try to use it?,"@821954 We'll be happy to help with what you're experiencing with the current iOS software you're using. Send us a DM, we'll continue there. https://t.co/GDrqU22YpT",AUTO_HANDLE,1.0,1.0,1.0,1.0,4.0,5.0,2.17,A,A,Reply addresses the wrong sub-problem (generic response passed evidence filter),Add specificity bonus/penalty in score_evidence_candidate(); tighten minimum specificity threshold,success
eval_12,2299407,@AppleSupport my son is being exposed to inappropriate ads in ad supported kid's games we download from the Apple Store. How can I prevent this?,app_store_downloads,app_store_downloads,Could you provide a little more detail about the issue you're experiencing?,@470289 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,AUTO_HANDLE,1.0,1.0,1.0,1.0,4.0,5.0,2.17,A,A,Reply addresses the wrong sub-problem (generic response passed evidence filter),Add specificity bonus/penalty in score_evidence_candidate(); tighten minimum specificity threshold,success
eval_13,1804005,I wish @AppleSupport would let me download the previous iOS so that my phone can actually work normal again #SteveJobsWouldntAllowThis,ios_update,ios_software_update,Could you provide a little more detail about the issue you're experiencing?,@216491 We'd love to assist you with the WhatsApp. DM us letting us know if it shows an update for the app in the App Store. https://t.co/GDrqU22YpT,AUTO_HANDLE,1.0,5.0,1.0,1.0,5.0,5.0,3.0,B,B,"Intent misclassification: gold=ios_update, pred=ios_software_update",Investigate classifier boundary between ios_update and ios_software_update,success
eval_14,1651994,"@AppleSupport 2 weeks have passed and no update to fix the lag yet . Please allow old phones to revert back to iOS 10.3.3
#returntoiOS10.3.3",ios_update,ios_software_update,"Could you tell us what is happening with the software update, such as downloading, installing, or failing?","@578961 We're happy to help, do you get any sort of error message or alert when attempting to activate on your iPhone?",AUTO_HANDLE,1.0,1.0,1.0,1.0,4.0,5.0,2.17,B,B,"Intent misclassification: gold=ios_update, pred=ios_software_update",Investigate classifier boundary between ios_update and ios_software_update,success
eval_15,152892,@AppleSupport (2) recall to be the thing that caused it. I also downloaded the Anomal Crossing app but i dont think that was it. After the video my phone's message app has been acting up and nothing seems to fix it. I have not tried with wifi yet as ,app_problems,wifi_connectivity,Could you tell us whether the issue is with downloading or installing an app?,@742751 Let's help get you back to downloading those applications in your App Store. Is this issue happening over cellular data as well as Wi-Fi? Do you ever get any error message after a certain amount of time waiting? Have you tried restarting your,AUTO_HANDLE,1.0,1.0,1.0,1.0,3.0,1.0,1.33,B,B+D,"Intent misclassification: gold=app_problems, pred=wifi_connectivity",Investigate classifier boundary between app_problems and wifi_connectivity,success
eval_16,1773204,@AppleSupport @532936 Yeah that work around doesn’t work anymore!!,other_unclear,other_unclear,Could you provide a little more detail about the issue you're experiencing?,"@820842 Wow! That is quite an issue you shared with us. Thank you for the video. We would love to work with you and get this resolved today, for sure. Which iOS version are you running on that iPhone? Does restarting help stop this false touch behavi",AUTO_HANDLE,1.0,5.0,3.0,1.0,5.0,5.0,3.33,J,J,Grounded and polite but correctness=1.0; may reflect judge strictness on clarification replies,Review manually; judge may penalize warranted clarifications,success
eval_17,1643279,@AppleSupport How do I allow no password for already purchased apps but require a password for any new apps (even free) in the App Store?,app_store_downloads,app_store_downloads,Could you tell us whether the issue is with downloading or installing an app?,@530789 We want to help. Have you had the chance to restart your device? To restart your iOS device: https://t.co/JWOTqcWcbG,AUTO_HANDLE,1.0,1.0,1.0,1.0,4.0,5.0,2.17,A,A,Reply addresses the wrong sub-problem (generic response passed evidence filter),Add specificity bonus/penalty in score_evidence_candidate(); tighten minimum specificity threshold,success
eval_18,2519462,@115858 why can’t I make outbound calls on either one my phones. WHAT THE FUCK,calls_cellular,calls_cellular,"Could you tell us whether the issue is with making calls, cellular data, or getting a signal?","@246320 We're here to help. We released an update overnight that may address this issue. Follow these steps to update your iPhone and let us know how it goes: https://t.co/osZOKKTalm
Be sure to create a backup before upating.",AUTO_HANDLE,3.0,5.0,5.0,2.0,5.0,5.0,4.17,A,A,Reply does not fully address the specific customer problem,Improve evidence specificity scoring,success
eval_19,1745514,Yo @AppleSupport what the hell is this box on my screen https://t.co/WcHl8uyBaT,screen_display,screen_display,"Could you tell us what is happening with the screen, such as a black display, touch issue, or flickering?",@139258 We've released an update to fix this. We do recommend creating a current backup of the data on your device before updating. Here's more about the new update: https://t.co/xU1AGHStV6 Let us know if this helps. https://t.co/GDrqU22YpT,AUTO_HANDLE,1.0,1.0,2.0,1.0,3.0,5.0,2.17,A,A,Reply does not fully address the specific customer problem,Improve evidence specificity scoring,success
eval_20,1978681,"@115858 @applesupport There is no damn way, my storage is full. I barely have anything on my phone.",other_unclear,other_unclear,Could you provide a little more detail about the issue you're experiencing?,"@259791 We're happy to help To start, what version of iOS are you running? Find that in Settings &gt; General &gt; About.",AUTO_HANDLE,1.0,1.0,1.0,1.0,4.0,5.0,2.17,A,A,Reply addresses the wrong sub-problem (generic response passed evidence filter),Add specificity bonus/penalty in score_evidence_candidate(); tighten minimum specificity threshold,success
eval_21,1583811,Hey @AppleSupport. When are you going to update the software so my iPhone doesn’t do this - I️ every time I try to type an I?,ios_update,ios_software_update,"Could you tell us what is happening with the software update, such as downloading, installing, or failing?",@430158 That's not expected. We'll make things right. What happened before this screen? Did you set up as new or restore a backup?,AUTO_HANDLE,1.0,1.0,1.0,1.0,3.0,5.0,2.0,B,B,"Intent misclassification: gold=ios_update, pred=ios_software_update",Investigate classifier boundary between ios_update and ios_software_update,success
eval_22,1795402,Hi @AppleSupport - why does my phone no longer charge since updating to #iOS11 ? Presume you will fund a new device for me?!,battery_charging,battery_charging,"Could you tell us what is happening with the battery or charging, such as fast draining or not charging?","@715993 Does the same issue happen when you connect other Bluetooth devices to your device? What happens when you try to install or update apps? If you're not connected to Wi-Fi, please connect and try again. Let us know.",AUTO_HANDLE,1.0,1.0,1.0,1.0,3.0,5.0,2.0,A,A,Reply addresses the wrong sub-problem (generic response passed evidence filter),Add specificity bonus/penalty in score_evidence_candidate(); tighten minimum specificity threshold,success
eval_23,2914628,@AppleSupport It’s saying can’t connect to iMessage server. Try again,apple_id_icloud,apple_id_icloud,"Could you tell us what is happening with Wi-Fi, such as not connecting or frequently disconnecting?",@748067 Which iOS version is your device running? You can find it by navigating to: Settings &gt; General &gt; About. Let's work on this together in DM. Follow us there using the link below: https://t.co/GDrqU22YpT,AUTO_HANDLE,3.0,1.0,4.0,2.0,5.0,3.0,3.0,D,D,Unsupported claims detected (judge score=3.0),Improve grounding check or evidence quality to prevent hallucinated facts,success
eval_24,2593234,@AppleSupport I don’t understand why my phones keeps freezing EVERY 20 minutes and I’m not exaggerating 😕😕,app_problems,app_problems,Could you tell us which app is affected and what happens when you try to use it?,@603446 We'd like to help you with that update. Let us know which iPhone you're attempting to update via DM. We'll go from there. https://t.co/GDrqU22YpT,AUTO_HANDLE,1.0,1.0,1.0,1.0,3.0,5.0,2.0,E,A+E,Unnecessary clarification — customer already described the specific problem in enough detail,Improve specificity scoring to rank direct actionable replies above generic clarification questions,success
eval_25,293819,"@AppleSupport why I can’t download my videos from the links, I don’t need download from YouTube 
I stop watching my movie and drama ☹️💔",app_problems,app_problems,"Could you tell us whether YouTube is crashing, not opening, or showing another issue?",@533398 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,AUTO_HANDLE,1.0,1.0,1.0,1.0,4.0,3.0,1.83,D,A+D,Unsupported claims detected (judge score=3.0),Improve grounding check or evidence quality to prevent hallucinated facts,success
eval_26,2802437,@AppleSupport Other applications are the same. Horizontal position is problematic.,screen_display,screen_display,Could you provide a little more detail about the issue you're experiencing?,@208757 We'll do what we can to get that working so you can go back to enjoying your iPhone. Are you not getting cellular data in just that specific location?,AUTO_HANDLE,3.0,5.0,4.0,2.0,5.0,5.0,4.0,A,A,Reply does not fully address the specific customer problem,Improve evidence specificity scoring,success
eval_27,944328,@AppleSupport @115850 7/n the person asked me to deposit my device for 4-5days to service the device on heating issue. This is 2017 AD and not BC.,device_hardware,device_hardware,Could you provide a little more detail about the issue you're experiencing?,@564630 We'd like to see how we can help. Let us know which iOS version you're on and we'll go from there.,AUTO_HANDLE,1.0,5.0,1.0,1.0,5.0,5.0,3.0,A,A,Reply addresses the wrong sub-problem (generic response passed evidence filter),Add specificity bonus/penalty in score_evidence_candidate(); tighten minimum specificity threshold,success
eval_28,2123938,Mi iPhone 7 Plus presenta algunos problemas con App que se cierran u demoran para responder abrir la app que presiono. @119459 @119460 @624212 @AppleSupport @115858,app_problems,app_problems,Could you tell us which app is affected and what happens when you try to use it?,"@251098  Let's verify that Do Not Disturb isn’t enabled.  That setting doesn't generally affect alarms, but it would affect phone calls. Also, let's ensure that your side volume hasn’t been muted. After verifying these settings, let's set a test alar",AUTO_HANDLE,2.0,5.0,5.0,2.0,5.0,5.0,4.0,J,J,Grounded and polite but correctness=2.0; may reflect judge strictness on clarification replies,Review manually; judge may penalize warranted clarifications,success
eval_29,2965414,"Dear @115858, 

I am still patiently waiting for the day I can delete these apps I've #never used. 

Sincerely, me. https://t.co/9P2vBfYiHU",other_unclear,other_unclear,Could you provide a little more detail about the issue you're experiencing?,"@586988 We’d love to help with your storage. To start, send us a DM letting us know which iPhone and software version you’re using. https://t.co/GDrqU22YpT",AUTO_HANDLE,1.0,5.0,2.0,1.0,5.0,5.0,3.17,J,J,Grounded and polite but correctness=1.0; may reflect judge strictness on clarification replies,Review manually; judge may penalize warranted clarifications,success
eval_30,2350767,@679441 @115858 @AppleSupport can you help with this guys ?,other_unclear,other_unclear,Could you provide a little more detail about the issue you're experiencing?,@339643 We'll be glad to help get those apps installed. Is this happening with all apps or any particular ones?,AUTO_HANDLE,4.0,5.0,5.0,3.0,5.0,5.0,4.5,J,J,"Good reply (correctness=4.0, overall=4.50) — no failure",No fix needed,success
eval_31,810174,@AppleSupport unable to download music/install apps on iPad for months. Asks for me to use verification code from iPhone but doesn't work?,apple_id_icloud,app_store_downloads,Could you tell us what is happening with Apple Music or iTunes?,@821249 We're happy to help. Let's take a look at this further for you. Reach out to us in DM. https://t.co/GDrqU22YpT,AUTO_HANDLE,1.0,1.0,1.0,1.0,3.0,5.0,2.0,B,B,"Intent misclassification: gold=apple_id_icloud, pred=app_store_downloads",Investigate classifier boundary between apple_id_icloud and app_store_downloads,success
eval_32,2296245,"Hi @AppleSupport, for a month now my camera settings keep resetting to whatever they want, even though my ‘Preserve Settings’ are all on. 🙄 https://t.co/oRa4rLmYuN",app_problems,device_hardware,"Could you tell us what is happening with the camera, such as not opening or not taking photos?","@258640 We'd love to help you with making a backup. So that we're sure to be on the right path, please tell us which device you're trying to back up, and which iOS version is installed on it currently. Also, is this device connected via Wi-Fi, or via",AUTO_HANDLE,1.0,1.0,1.0,1.0,4.0,5.0,2.17,B,B,"Intent misclassification: gold=app_problems, pred=device_hardware",Investigate classifier boundary between app_problems and device_hardware,success
