case_id,tweet_id,customer_message,system_intent,system_decision,system_escalation_reason,system_reply,evidence_text,judge_provider,judge_model,judge_success,judge_status,judge_error,correctness_score,correctness_reason,groundedness_score,groundedness_reason,relevance_score,relevance_reason,completeness_score,completeness_reason,tone_score,tone_reason,unsupported_claims_score,unsupported_claims_reason,unsupported_claims_found,escalation_appropriateness_score,escalation_appropriateness_reason,overall_score,overall_reason
case_01,2343831,Got my new Three SIM card yay... and now the sim drawer won’t open on my phone... so O2 still have me! @AppleSupport can you help me with this? Looks like the sim isn’t fitting in the slot preventing it from opening! Do I come to your store to get it sorted?,device_hardware,AUTO_HANDLE,,"Could you provide more details about the hardware issue, including what happens when you use the device?","Customer: Historical case for device_hardware
Response: @208757 We'll do what we can to get that working so you can go back to enjoying your iPhone. Are you not getting cellular data in just that specific location?",groq,openai/gpt-oss-20b,True,success,,2.0,"The reply does not address the customer’s specific issue of a stuck SIM tray or provide any guidance on how to resolve it. It merely asks for more details, which is insufficient for a correct solution.",1.0,"The response contains no claims or instructions that are supported by the supplied historical evidence. The evidence relates to cellular data issues, not SIM tray problems.",2.0,"While the reply is somewhat relevant in that it seeks additional information, it does not directly address the customer’s problem of a stuck SIM drawer or suggest any next steps.",1.0,"The reply offers no actionable steps or clarification beyond a generic request for more details, leaving the customer without guidance.",4.0,"The tone is polite, concise, and professional, appropriate for Apple support.",5.0,"The reply contains no unsupported claims, promises, or facts beyond a request for more information.",False,5.0,A diagnostic question is an appropriate response for an auto‑handle decision in this context.,2.5,"The response is a generic diagnostic request that lacks grounding in evidence and does not provide a solution, resulting in low scores for correctness, groundedness, relevance, and completeness, but it maintains a good tone and appropriate escalation."
case_02,2958698,@AppleSupport I have restarted my phone and it is working now. Must be a bug?,other_unclear,AUTO_HANDLE,,"Glad to hear restarting resolved it! If the issue reoccurs or appears to be a software bug, let us know what iOS version you're running so we can look into it.","Customer: Historical case for other_unclear
Response: @451763 Let's help troubleshoot the account itself.  Please check out the steps here: https://t.co/Jpr0POLgCg and keep us posted.",groq,openai/gpt-oss-20b,True,success,,5.0,The reply accurately acknowledges the customer's resolution and offers appropriate follow‑up if a bug reappears.,1.0,No historical evidence was provided to support the claim that the issue may be a software bug or that iOS version information is needed.,5.0,The response directly addresses the customer’s statement about restarting and the possibility of a bug.,4.0,It offers a reasonable next step (providing iOS version) but could include additional troubleshooting or confirmation steps.,5.0,"The reply is polite, concise, and professional.",3.0,"The reply includes a claim that the support team can investigate a bug based on iOS version, which is not supported by the supplied evidence.",True,5.0,The response is suitable for an auto‑handle scenario and does not require escalation.,3.83,"High correctness, relevance, tone, and escalation appropriateness, but low groundedness and some unsupported claims reduce the overall score."
case_03,2837178,"@AppleSupport Hi, I have an issue where I have set my Calendar app on Mac to start week on Monday but it randomly changes to start week on Sunday and I have to keep changing it back, can you please advise a fix?",app_problems,AUTO_HANDLE,,"Could you tell us what occurs when you use the app, including any error messages you see?","Customer: Historical case for app_problems
Response: @776021 Thanks for bringing this to our attention. Have you tried restarting your computer to see if the issue persists? https://t.co/GDrqU22YpT",groq,openai/gpt-oss-20b,True,success,,1.0,The reply does not address the issue of the Calendar app week start reverting from Monday to Sunday.,1.0,"The reply is not supported by the provided historical evidence, which suggested restarting the computer.",1.0,The question about error messages is unrelated to the customer's problem.,1.0,The reply offers no guidance or solution to the issue.,3.0,"The reply is polite and professional, but lacks helpful content.",5.0,The reply contains no unsupported claims; it only asks a question.,False,1.0,"Given the unhelpful response, escalation would be appropriate, but the decision was to auto-handle.",2.0,"The response fails to address the customer's issue, lacks grounding, relevance, and completeness, making it largely ineffective."
case_04,2299407,@AppleSupport my son is being exposed to inappropriate ads in ad supported kid's games we download from the Apple Store. How can I prevent this?,app_store_downloads,AUTO_HANDLE,,Could you tell us whether the issue is with downloading or installing an app?,"Customer: Historical case for app_store_downloads
Response: @742751 Let's help get you back to downloading those applications in your App Store. Is this issue happening over cellular data as well as Wi-Fi? Do you ever get any error message after a certain amount of time waiting? Have you tried restarting your device yet?",groq,openai/gpt-oss-20b,True,success,,1.0,The reply does not address the customer’s concern about preventing inappropriate ads in kid’s games; it instead asks about downloading or installing apps.,1.0,"No evidence supports the question about downloading or installing; the historical evidence pertains to app download errors, not ad content.",1.0,The response is unrelated to the issue of inappropriate ads and does not provide any relevant guidance.,1.0,The reply offers no actionable steps or clarification for the requested ad prevention.,4.0,"The reply is polite and concise, but lacks helpful content.",5.0,The reply contains no claims or instructions that are unsupported by evidence.,False,1.0,Auto-handle is inappropriate because the response fails to address the issue; escalation or a more detailed answer is warranted.,2.17,"The reply is largely ineffective and unsupported, resulting in a low overall evaluation."
case_05,1804005,I wish @AppleSupport would let me download the previous iOS so that my phone can actually work normal again #SteveJobsWouldntAllowThis,ios_update,AUTO_HANDLE,,"Could you tell us what is happening with the iOS update, such as downloading, installing, or failing?","Customer: Historical case for ios_update
Response: @470289 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9",groq,openai/gpt-oss-20b,True,success,,2.0,The reply does not address the customer’s request to download a previous iOS version; it merely asks for more information.,2.0,"The response is not supported by the provided historical evidence, which offers a workaround link rather than a diagnostic question.",2.0,The reply does not directly address the customer’s intent to download an earlier iOS.,2.0,"It offers no guidance or solution, only a generic diagnostic question.",5.0,"The reply is polite, concise, and professional.",5.0,"No unsupported claims, promises, or facts are present.",False,4.0,"While the reply does not provide a solution, asking a diagnostic question is acceptable for an auto‑handle scenario, so escalation is not required.",3.0,"The response is polite but fails to address the customer’s request and lacks grounding in the evidence, resulting in a moderate overall score."
case_06,1643279,@AppleSupport How do I allow no password for already purchased apps but require a password for any new apps (even free) in the App Store?,app_store_downloads,AUTO_HANDLE,,"Based on a similar Apple Support case, We want you to be able to check out all the latest new apps in the App Store. If you're unable to download new apps, what happens when you attempt to do so? Do you receive any error message?","Customer: Historical case for app_store_downloads
Response: @192517 We'd be glad to look into this with you. Does this happen with every download? Let us know in DM to get started. https://t.co/GDrqU22YpT",groq,openai/gpt-oss-20b,True,success,,1.0,The reply does not address the customer’s request to set password requirements for new apps while exempting already purchased apps.,1.0,The reply references a similar case but provides no evidence or instructions that support the requested configuration.,1.0,The response focuses on error messages rather than the password settings the customer asked about.,1.0,No actionable guidance or steps are provided to resolve the issue.,3.0,"The reply is polite and concise, but lacks helpful content.",1.0,The reply contains unsupported claims that are not supported by the evidence provided.,True,2.0,The reply is insufficient for an auto-handle scenario; escalation or additional guidance would be more appropriate.,1.33,"The response fails to address the customer’s intent, lacks grounding, relevance, and completeness, and contains unsupported claims, resulting in a low overall score."
case_07,1795402,Hi @AppleSupport - why does my phone no longer charge since updating to #iOS11 ? Presume you will fund a new device for me?!,battery_charging,AUTO_HANDLE,,"Based on a similar Apple Support case, We can help with battery life. Do you know what version of the iOS is on the device? If not, you can check under Settings &gt; General &gt; About &gt; Version.","Customer: Historical case for battery_charging
Response: @671521 We're here for you. Which iPhone are you using and what version of the iOS? You can check from Settings &gt; General &gt; About.",groq,openai/gpt-oss-20b,True,success,,2.0,"The reply does not explain why the phone stopped charging or provide a solution, only asks for the iOS version. It partially addresses the issue but lacks a direct answer.",5.0,All statements are directly supported by the historical evidence provided.,3.0,"The reply is somewhat relevant by asking for the iOS version, but it does not address the charging problem itself.",2.0,It omits key troubleshooting steps or explanations for the charging issue.,5.0,"The reply is professional, polite, and concise.",5.0,No claims or instructions are made that are unsupported by the evidence.,False,5.0,The reply is suitable for an auto-handle decision; no escalation is needed.,3.67,The response is grounded and well‑toned but lacks completeness and direct correctness regarding the charging issue.
case_08,293819,"@AppleSupport why I can’t download my videos from the links, I don’t need download from YouTube 
I stop watching my movie and drama ☹️💔",app_problems,AUTO_HANDLE,,"Based on a similar Apple Support case, We want to help you with this. What exactly happens when you're using the YouTube app? Which iOS version are you running on your iPhone? You can check here: Settings &gt; General &gt; About &gt; Version.","Customer: Historical case for app_problems
Response: @200233 We want to help you with this. What exactly happens when you're using the YouTube app? Which iOS version are you running on your iPhone? You can check here: Settings &gt; General &gt; About &gt; Version.",groq,openai/gpt-oss-20b,True,success,,1.0,The reply does not address the customer’s request to download videos from links; it incorrectly focuses on the YouTube app.,4.0,"All statements in the reply are directly taken from the supplied evidence, so they are supported by the evidence, even though the evidence is not relevant to the customer’s issue.",1.0,"The response is about the YouTube app and iOS version, which is unrelated to the customer’s problem of downloading videos from links.",1.0,The reply offers no guidance on how to download videos from links and omits any troubleshooting steps.,4.0,"The reply is polite, professional, and concise.",5.0,All claims are present in the evidence; no unsupported claims are made.,False,1.0,The issue is not an app problem and the reply does not resolve it; escalation or a correct solution would be more appropriate.,2.67,"The reply is largely irrelevant and incomplete, though it is grounded in the provided evidence and contains no unsupported claims."
case_09,810174,@AppleSupport unable to download music/install apps on iPad for months. Asks for me to use verification code from iPhone but doesn't work?,apple_id_icloud,AUTO_HANDLE,,"Could you tell us whether the issue is with signing in, your password, or iCloud?","Customer: Historical case for apple_id_icloud
Response: @462507 Have you tried any troubleshooting steps so far? Which country are you located within? Please DM us here: https://t.co/GDrqU22YpT",groq,openai/gpt-oss-20b,True,success,,2.0,The reply does not address the specific issue of the verification code not working or provide any troubleshooting steps for downloading music or apps.,1.0,The reply is not supported by any of the supplied historical evidence; it offers a generic diagnostic question without referencing the evidence.,2.0,"While the question about signing in, password, or iCloud is somewhat related to the issue, it does not directly address the customer’s problem of the verification code not working.",2.0,The reply only asks a diagnostic question and does not provide any actionable guidance or next steps.,5.0,"The reply is polite, concise, and professional.",5.0,"The reply contains no unsupported claims, only a neutral diagnostic question.",False,5.0,The issue is not a sensitive topic requiring escalation; an automated response is appropriate.,2.83,"The response is polite but lacks groundedness, relevance, and completeness, resulting in an overall moderate score."
case_10,1636580,@AppleSupport I think that did it- thank you!,other_unclear,AUTO_HANDLE,,You're welcome! Glad to hear that helped. Let us know if you need anything else.,"Customer: Historical case for other_unclear
Response: @530789 We want to help. Have you had the chance to restart your device? To restart your iOS device: https://t.co/JWOTqcWcbG",groq,openai/gpt-oss-20b,True,success,,5.0,The reply appropriately acknowledges the customer’s gratitude and confirms that the issue was resolved.,5.0,The reply contains no claims or instructions that require evidence; it simply responds to the customer’s message.,5.0,The response directly addresses the customer’s thank‑you and offers further assistance.,5.0,"The reply provides a concise, sufficient response for the situation.",5.0,"The reply is professional, polite, and concise, fitting Apple Support standards.",5.0,"No unsupported claims, directives, or facts are present.",False,5.0,The reply is suitable for an auto‑handle scenario and does not require escalation.,5.0,"All evaluation dimensions score the maximum, indicating a fully appropriate response."
