metric,value
evaluated_cases,50.0
mean_correctness,3.04
mean_groundedness,4.3
mean_relevance,3.12
mean_completeness,2.76
mean_tone,4.0
mean_unsupported_claims,5.0
mean_overall,3.7036
serious_quality_problems_count,21.0
serious_quality_problems_rate,0.42
correctness_dist_1,12.0
correctness_dist_2,8.0
correctness_dist_3,9.0
correctness_dist_4,8.0
correctness_dist_5,13.0
groundedness_dist_1,0.0
groundedness_dist_2,0.0
groundedness_dist_3,9.0
groundedness_dist_4,17.0
groundedness_dist_5,24.0
relevance_dist_1,10.0
relevance_dist_2,8.0
relevance_dist_3,11.0
relevance_dist_4,8.0
relevance_dist_5,13.0
completeness_dist_1,12.0
completeness_dist_2,11.0
completeness_dist_3,11.0
completeness_dist_4,9.0
completeness_dist_5,7.0
tone_dist_1,0.0
tone_dist_2,1.0
tone_dist_3,11.0
tone_dist_4,25.0
tone_dist_5,13.0
unsupported_claims_dist_1,0.0
unsupported_claims_dist_2,0.0
unsupported_claims_dist_3,0.0
unsupported_claims_dist_4,0.0
unsupported_claims_dist_5,50.0
