tweet_id,customer_message,gold_intent,predicted_intent,intent_correct,reply,evidence_used,evidence_safe,evidence_relevance,problem_match,correctness,groundedness,relevance,completeness,tone,unsupported_claims,overall,judge_decision,escalation_decision,escalation_reason,failure_category,failure_explanation
2547281,@115858 what the fuck are y’all doin where i️ can’t even type the letter i️ ??? get your shit together,ios_update,ios_update,True,"Based on a similar Apple Support case, Thanks for contacting us, this issue was resolved with the software update. Please visit:",True,True,0.645,0.575,1,1,1,1,1,5,1.0,UNSAFE,AUTO_HANDLE,,grounded response issue,Historical evidence reply was truncated and general iOS update guidance did not clearly provide the autocorrect/keyboard fix.
162872,Checking snapchat stops my music now &amp; that is not ok ☹️ @917 @115858,apple_music_itunes,apple_music_itunes,True,"Based on a similar Apple Support case, You'll need to install Apple Music for Android to enjoy your iTunes Music library or Apple Music Subscription. After it is installed, just sign in with your Apple ID. The link takes you to our App:",True,True,0.645,0.45,1,1,1,1,1,5,1.0,UNSAFE,AUTO_HANDLE,,retrieval error,Customer on iOS reported Snapchat stopping Apple Music; retriever matched an Android-specific Apple Music installation thread.
1477617,@115858 what the fuck is this? I️,ios_update,ios_update,True,"Based on a similar Apple Support case, We're here for you. Check out this article for help:",True,True,0.57,0.45,1,1,1,1,2,1,1.17,UNSAFE,AUTO_HANDLE,,insufficient evidence,Customer submitted an ambiguous profanity query ('what the fuck is this? I️'); pipeline attempted an empty article reference instead of requesting clarification.
1340829,@AppleSupport secured #iPhoneX at launch but ONLY w/a select carrier. Yet was told by Apple #Retail I could buy SIM-free like iPhone8. How? https://t.co/l4TpVlz0dE,calls_cellular,calls_cellular,True,Are you trying to use an iPhone with a SIM from another carrier?,False,False,0.0,0.0,1,1,1,1,3,5,1.5,UNSAFE,AUTO_HANDLE,,judge disagreement,"Customer discussed carrier restriction on iPhone X purchase; agent asked a valid diagnostic clarification question, but LLM judge penalized it for not providing immediate resolution."
440797,@115858 as if I waited ten days to recover my password finally got 2 &amp; your website has an error and I have to wait again! Samsung convert.,apple_id_icloud,apple_id_icloud,True,"Based on a similar Apple Support case, Thanks for reaching out. You can attempt to shorten the wait. Check out the steps outlined here:",True,True,0.645,0.575,1,1,1,1,3,5,1.5,UNSAFE,AUTO_HANDLE,,specific problem mismatch,Customer encountered a web error during account recovery; evidence matched account wait-time guidance rather than web error troubleshooting.
724937,"my iPhone has died a total of FOUR times today even though every time it was on ""100%""... @115858, you're going to get a very angry call soon",battery_charging,battery_charging,True,"Could you tell us whether the issue is with making calls, cellular data, or getting a signal?",False,False,0.0,0.0,1,1,1,1,3,5,1.5,UNSAFE,AUTO_HANDLE,,grounded response issue,Customer reported device battery dying at 100%; safe clarification fallback erroneously asked cellular/call questions instead of battery diagnostics.
1475391,Hola @115858 me ha llegado un correo para resetear mi cuenta iCloud... es de ustedes o es un virus?,apple_id_icloud,apple_id_icloud,True,"Based on a similar Apple Support case, We can help with turning iCloud off. This article goes over how to manage iCloud and your backups:",True,True,0.645,0.45,1,3,1,1,2,5,1.5,UNSAFE,AUTO_HANDLE,,escalation error,Customer asked in Spanish whether an iCloud reset email was a phishing virus; system provided iCloud toggle advice instead of escalating potential account security threat.
1645496,@115858 Heartbroken 💔 Think I may have lost all the photos of my pregnancy and newborn baby girl. Surely there is something that can be done!,apple_id_icloud,apple_id_icloud,True,"Based on a similar Apple Support case, We'd like to help. So we're clear, have you checked to confirm the photos are showing here?",True,True,0.72,0.575,1,1,1,1,3,5,1.5,UNSAFE,AUTO_HANDLE,,grounded response issue,Customer suffered photo loss; evidence guidance was truncated ('have you checked to confir...') rather than providing full iCloud photo recovery instructions.
2002700,"@AppleSupport turned back on again.
It was connected to a power supply too. Now the battery is completely drained and i cant even get it to charge",battery_charging,battery_charging,True,"Based on a similar Apple Support case, Let's help. Since updating the iOS, let's make sure your settings are the best for battery life:",True,True,0.72,0.575,1,1,1,1,3,5,1.5,UNSAFE,AUTO_HANDLE,,specific problem mismatch,Customer reported dead battery unable to charge; retrieved evidence provided post-iOS update settings review rather than hardware charging diagnostics.
1861583,@115858 what should I do now that your shitty headphones broke in my phone ? https://t.co/iF0pvfveRp,audio_speaker,audio_speaker,True,"Based on a similar Apple Support case, We want to help. Let's force re-start it. This article explains how:",True,True,0.645,0.575,1,1,1,1,3,5,1.5,UNSAFE,AUTO_HANDLE,,specific problem mismatch,Customer had broken headphone plug physically lodged in device; retriever returned generic force-restart advice for a physical hardware extraction issue.
