query_number,query_tweet_id,query_conversation_id,query_text,true_intent,predicted_intent,prediction_confidence,rank,similarity,historical_conversation_id,historical_intent,historical_customer,historical_response,automatic_relevance
1,2343831,apple_004208,Got my new Three SIM card yay... and now the sim drawer won’t open on my phone... so O2 still have me! @AppleSupport can you help me with this? Looks like the sim isn’t fitting in the slot preventing it from opening! Do I come to your store to get it sorted?,device_hardware,device_hardware,0.20229225395478612,1,0.23275898106542633,apple_047718,device_hardware,@AppleSupport I went to your store to get my SIM card in and my cellur data worked there but not now I need help this is getting me mad,@208757 We'll do what we can to get that working so you can go back to enjoying your iPhone. Are you not getting cellular data in just that specific location?,1
1,2343831,apple_004208,Got my new Three SIM card yay... and now the sim drawer won’t open on my phone... so O2 still have me! @AppleSupport can you help me with this? Looks like the sim isn’t fitting in the slot preventing it from opening! Do I come to your store to get it sorted?,device_hardware,device_hardware,0.20229225395478612,2,0.19123103712372624,apple_031120,device_hardware,Well looks like I already gotta take my iPhone X to the @115858 store to get it fixed,@636544 What's going on with your iPhone X? We'd love to help!,1
1,2343831,apple_004208,Got my new Three SIM card yay... and now the sim drawer won’t open on my phone... so O2 still have me! @AppleSupport can you help me with this? Looks like the sim isn’t fitting in the slot preventing it from opening! Do I come to your store to get it sorted?,device_hardware,device_hardware,0.20229225395478612,3,0.18801853805793767,apple_044360,device_hardware,"@AppleSupport Also does the phone come sim card free? When I get the phone, do I need to get a sim card from vodafone etc? How does it work? Thanks!",@406336 Great question! To make sure we can provide accurate information. Where will be purchasing your iPhone X?,1
1,2343831,apple_004208,Got my new Three SIM card yay... and now the sim drawer won’t open on my phone... so O2 still have me! @AppleSupport can you help me with this? Looks like the sim isn’t fitting in the slot preventing it from opening! Do I come to your store to get it sorted?,device_hardware,device_hardware,0.20229225395478612,4,0.1823022552751555,apple_000030,device_hardware,@AppleSupport The SIM card was brand new given to us when we got the device.,"@157889 Was the iPhone ordered online, or purchased in store? If ordered online, let us know whether it was purchased from Apple, or your wireless carrier. If purchased from your wireless carrier, check the box it shipped in for any specific activation instructions.",1
1,2343831,apple_004208,Got my new Three SIM card yay... and now the sim drawer won’t open on my phone... so O2 still have me! @AppleSupport can you help me with this? Looks like the sim isn’t fitting in the slot preventing it from opening! Do I come to your store to get it sorted?,device_hardware,device_hardware,0.20229225395478612,5,0.17754376423694254,apple_015428,device_hardware,"@115858 Help, my iPhone has sim stuck and I can't open the drawer to get it out. Advice please",@543632 We've got your back. Could you join us in DM with more details and let us know which model iPhone you are using? https://t.co/GDrqU22YpT,1
2,2958698,apple_045892,@AppleSupport I have restarted my phone and it is working now. Must be a bug?,other_unclear,other_unclear,0.14231033450922068,1,0.421910401285026,apple_004982,other_unclear,@AppleSupport i soft reset my phone and it is working now,"@366383 We're glad to hear that worked for you. 

If you have any other questions, just let us know.",2
2,2958698,apple_045892,@AppleSupport I have restarted my phone and it is working now. Must be a bug?,other_unclear,other_unclear,0.14231033450922068,2,0.3656615636705403,apple_031954,other_unclear,"@AppleSupport I have restarted my computer, yes.",@373660 Thanks for restarting. Please complete these steps and let us know the result: https://t.co/1SrHVMz478,2
2,2958698,apple_045892,@AppleSupport I have restarted my phone and it is working now. Must be a bug?,other_unclear,other_unclear,0.14231033450922068,3,0.3557533064118391,apple_054183,other_unclear,"Must be a bug , not an unleaked LOCKSCREEN ON the @AppleSupport  iPhone. https://t.co/qU3xmwzVFi","@274753 We'll be glad to take a look with you. From the screenshot, are you seeing this on your Home screen? Please send us a DM including more details. https://t.co/GDrqU22YpT",2
2,2958698,apple_045892,@AppleSupport I have restarted my phone and it is working now. Must be a bug?,other_unclear,other_unclear,0.14231033450922068,4,0.3524059611620165,,other_unclear,@777505 @115858 Does it with mine too. Must be a bug,@274540 We received your DM and would be happy to continue with you there.,2
2,2958698,apple_045892,@AppleSupport I have restarted my phone and it is working now. Must be a bug?,other_unclear,other_unclear,0.14231033450922068,5,0.34922793056009993,apple_074086,other_unclear,@AppleSupport Working now,@121480 Awesome! Let us know if you need help in the future.,1
