case_id,tweet_id,customer_message,system_reply,system_intent,intent_correct,evidence_supported,overall_comment,judge_reason,correctness_human,correctness_llm,correctness_diff,correctness_abs_diff,groundedness_human,groundedness_llm,groundedness_diff,groundedness_abs_diff,relevance_human,relevance_llm,relevance_diff,relevance_abs_diff,completeness_human,completeness_llm,completeness_diff,completeness_abs_diff,tone_human,tone_llm,tone_diff,tone_abs_diff,unsupported_claims_human,unsupported_claims_llm,unsupported_claims_diff,unsupported_claims_abs_diff,escalation_appropriateness_human,escalation_appropriateness_llm,escalation_appropriateness_diff,escalation_appropriateness_abs_diff,max_abs_diff
case_01,,Got my new Three SIM card yay... and now the sim drawer won’t open on my phone... so O2 still have me! @AppleSupport can you help me with this? Looks like the sim isn’t fitting in the slot preventing it from opening! Do I come to your store to get it sorted?,,,Yes,Yes,"The reply recognizes a hardware issue and asks for details, but it does not address the specific stuck SIM tray or answer whether the customer should visit a store.","The response is a generic diagnostic request that lacks grounding in evidence and does not provide a solution, resulting in low scores for correctness, groundedness, relevance, and completeness, but it maintains a good tone and appropriate escalation.",3.0,2.0,1.0,1.0,5.0,1.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,5.0,4.0,1.0,1.0,5.0,5.0,0.0,0.0,2.0,5.0,-3.0,3.0,4.0
case_02,,@AppleSupport I have restarted my phone and it is working now. Must be a bug?,,,No,Yes,"The reply appropriately acknowledges that restarting fixed the issue and asks for the iOS version if it recurs, although the system intent 'other_unclear' is not very specific to a possible software bug.","High correctness, relevance, tone, and escalation appropriateness, but low groundedness and some unsupported claims reduce the overall score.",4.0,5.0,-1.0,1.0,5.0,1.0,4.0,4.0,5.0,5.0,0.0,0.0,4.0,4.0,0.0,0.0,5.0,5.0,0.0,0.0,5.0,3.0,2.0,2.0,5.0,5.0,0.0,0.0,4.0
case_03,,"@AppleSupport Hi, I have an issue where I have set my Calendar app on Mac to start week on Monday but it randomly changes to start week on Sunday and I have to keep changing it back, can you please advise a fix?",,,Yes,Yes,"The reply asks for more details about the app behavior, which is relevant, but it does not address the specific Calendar setting that keeps reverting.","The response fails to address the customer's issue, lacks grounding, relevance, and completeness, making it largely ineffective.",3.0,1.0,2.0,2.0,5.0,1.0,4.0,4.0,4.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,5.0,3.0,2.0,2.0,5.0,5.0,0.0,0.0,3.0,1.0,2.0,2.0,4.0
case_04,,@AppleSupport my son is being exposed to inappropriate ads in ad supported kid's games we download from the Apple Store. How can I prevent this?,,,No,Yes,"The reply treats the problem as downloading or installing an app, while the customer is asking about inappropriate in-game advertising and how to prevent it.","The reply is largely ineffective and unsupported, resulting in a low overall evaluation.",2.0,1.0,1.0,1.0,5.0,1.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,4.0,1.0,1.0,5.0,5.0,0.0,0.0,2.0,1.0,1.0,1.0,4.0
case_05,,I wish @AppleSupport would let me download the previous iOS so that my phone can actually work normal again #SteveJobsWouldntAllowThis,,,Yes,Yes,The reply recognizes an iOS-update context but asks about downloading or installing the update instead of addressing the request to downgrade to a previous iOS version.,"The response is polite but fails to address the customer’s request and lacks grounding in the evidence, resulting in a moderate overall score.",3.0,2.0,1.0,1.0,5.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,3.0,4.0,-1.0,1.0,3.0
case_06,,@AppleSupport How do I allow no password for already purchased apps but require a password for any new apps (even free) in the App Store?,,,No,Yes,"The response assumes the customer cannot download apps and asks about an error, but the actual request is about App Store password settings.","The response fails to address the customer’s intent, lacks grounding, relevance, and completeness, and contains unsupported claims, resulting in a low overall score.",2.0,1.0,1.0,1.0,5.0,1.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,3.0,2.0,2.0,5.0,1.0,4.0,4.0,2.0,2.0,0.0,0.0,4.0
case_07,,Hi @AppleSupport - why does my phone no longer charge since updating to #iOS11 ? Presume you will fund a new device for me?!,,,Yes,Yes,"The response stays in the battery/charging area and asks for the iOS version, but it does not directly troubleshoot the reported failure to charge after the update.",The response is grounded and well‑toned but lacks completeness and direct correctness regarding the charging issue.,3.0,2.0,1.0,1.0,5.0,5.0,0.0,0.0,4.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,4.0,5.0,-1.0,1.0,1.0
case_08,,"@AppleSupport why I can’t download my videos from the links, I don’t need download from YouTube 
I stop watching my movie and drama ☹️💔",,,No,Yes,The reply focuses on using the YouTube app even though the customer explicitly says the problem is downloading videos from links and not YouTube.,"The reply is largely irrelevant and incomplete, though it is grounded in the provided evidence and contains no unsupported claims.",2.0,1.0,1.0,1.0,5.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,4.0,1.0,1.0,5.0,5.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0
case_09,,@AppleSupport unable to download music/install apps on iPad for months. Asks for me to use verification code from iPhone but doesn't work?,,,No,Yes,"The reply asks about signing in, passwords, or iCloud, which is somewhat related to verification, but it does not directly address the App Store download problem or failed verification code.","The response is polite but lacks groundedness, relevance, and completeness, resulting in an overall moderate score.",3.0,2.0,1.0,1.0,5.0,1.0,4.0,4.0,4.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,3.0,5.0,-2.0,2.0,4.0
case_10,,@AppleSupport I think that did it- thank you!,,,Yes,Yes,"The customer confirms the issue was resolved, so the brief thank-you response is fully appropriate and complete.","All evaluation dimensions score the maximum, indicating a fully appropriate response.",5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
