row,customer_message,conversation_id,true_intent,predicted_intent,intent_confidence,intent_correct,reply,response_type,evidence_used,evidence_consistent,evidence_retrieved,evidence_candidates,top1_exists,top1_safe,top1_similarity,top1_relevance,top1_quality,top1_rejection_reason,evidence_relevance,evidence_quality,evidence_id,safe_to_answer,grounded,unsupported_claim_count,unsupported_claims,escalation_decision,escalated,escalation_reason,unsafe_reply,generation_error,error
1,Got my new Three SIM card yay... and now the sim drawer won’t open on my phone... so O2 still have me! @AppleSupport can you help me with this? Looks like the sim isn’t fitting in the slot preventing it from opening! Do I come to your store to get it sorted?,apple_004208,other_unclear,calls_cellular,1.0,False,,error,False,False,0,0,True,False,0.24473240609380723,0.7587,0.85,no_specific_guidance,0.0,0.0,,False,False,1,generation_error,ESCALATE,True,escalation_function_error:'<' not supported between instances of 'dict' and 'float',True,True,"The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all()."
2,@AppleSupport I have restarted my phone and it is working now. Must be a bug?,apple_045892,other_unclear,other_unclear,0.14231033450922068,True,You're welcome! Glad to hear that helped.,resolved_acknowledgement,False,False,0,0,True,False,0.48416033180257445,0.636,1.0,domain_mismatch,0.48416033180257445,1.0,,True,True,0,,HANDLE,False,escalation_function_error:'<' not supported between instances of 'dict' and 'float',False,False,
3,"@AppleSupport Hi, I have an issue where I have set my Calendar app on Mac to start week on Monday but it randomly changes to start week on Sunday and I have to keep changing it back, can you please advise a fix?",apple_072786,other_unclear,app_problems,0.19949343355020493,False,,error,False,False,0,0,True,False,0.06496711772261353,0.5887,1.0,no_specific_guidance,0.0,0.0,,False,False,1,generation_error,ESCALATE,True,escalation_function_error:'<' not supported between instances of 'dict' and 'float',True,True,"The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all()."
4,@AppleSupport my son is being exposed to inappropriate ads in ad supported kid's games we download from the Apple Store. How can I prevent this?,apple_021948,other_unclear,app_store_downloads,0.5552975756774815,False,,error,False,False,0,0,True,False,0.06145143778858031,0.5554,1.0,domain_mismatch,0.0,0.0,,False,False,1,generation_error,ESCALATE,True,escalation_function_error:'<' not supported between instances of 'dict' and 'float',True,True,"The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all()."
5,I wish @AppleSupport would let me download the previous iOS so that my phone can actually work normal again #SteveJobsWouldntAllowThis,apple_053579,other_unclear,ios_software_update,1.0,False,,error,False,False,0,0,True,False,0.2483124988339013,0.5701,0.93,domain_mismatch,0.0,0.0,,False,False,1,generation_error,ESCALATE,True,escalation_function_error:'<' not supported between instances of 'dict' and 'float',True,True,"The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all()."
6,"@AppleSupport 2 weeks have passed and no update to fix the lag yet . Please allow old phones to revert back to iOS 10.3.3
#returntoiOS10.3.3",apple_041365,other_unclear,ios_software_update,1.0,False,,error,False,False,0,0,True,False,0.26538181158398616,0.6688,0.75,domain_mismatch,0.0,0.0,,False,False,1,generation_error,ESCALATE,True,escalation_function_error:'<' not supported between instances of 'dict' and 'float',True,True,"The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all()."
7,@AppleSupport (2) recall to be the thing that caused it. I also downloaded the Anomal Crossing app but i dont think that was it. After the video my phone's message app has been acting up and nothing seems to fix it. I have not tried with wifi yet as I dont have wifi today. Tomorrow I will.,apple_008217,other_unclear,wifi_connectivity,1.0,False,,error,False,False,0,0,True,False,0.26358603753541077,0.6559,0.8,domain_mismatch,0.0,0.0,,False,False,1,generation_error,ESCALATE,True,escalation_function_error:'<' not supported between instances of 'dict' and 'float',True,True,"The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all()."
8,@AppleSupport @532936 Yeah that work around doesn’t work anymore!!,apple_063425,other_unclear,other_unclear,0.14154330509861354,True,,error,False,False,0,0,True,False,0.4782601222079822,0.6276,0.93,domain_mismatch,0.0,0.0,,False,False,1,generation_error,ESCALATE,True,escalation_function_error:'<' not supported between instances of 'dict' and 'float',True,True,"The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all()."
9,@AppleSupport How do I allow no password for already purchased apps but require a password for any new apps (even free) in the App Store?,apple_013282,other_unclear,app_store_downloads,1.0,False,,error,False,False,0,0,True,True,0.17593539344834033,0.667,0.88,,0.0,0.0,,False,False,1,generation_error,ESCALATE,True,escalation_function_error:'<' not supported between instances of 'dict' and 'float',True,True,"The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all()."
10,@115858 why can’t I make outbound calls on either one my phones. WHAT THE FUCK,apple_067506,other_unclear,calls_cellular,0.25695881907570584,False,,error,False,False,0,0,True,True,0.3165428460557649,0.6891,1.0,,0.0,0.0,,False,False,1,generation_error,ESCALATE,True,escalation_function_error:'<' not supported between instances of 'dict' and 'float',True,True,"The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all()."
11,Yo @AppleSupport what the hell is this box on my screen https://t.co/WcHl8uyBaT,apple_006090,other_unclear,screen_display,1.0,False,,error,False,False,0,0,True,False,0.6022286443744502,0.5836,0.93,domain_mismatch,0.0,0.0,,False,False,1,generation_error,ESCALATE,True,escalation_function_error:'<' not supported between instances of 'dict' and 'float',True,True,"The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all()."
12,"@115858 @applesupport There is no damn way, my storage is full. I barely have anything on my phone.",apple_027819,other_unclear,other_unclear,0.1443102972981846,True,,error,False,False,0,0,True,False,0.29372071652330917,0.5634,0.75,domain_mismatch,0.0,0.0,,False,False,1,generation_error,ESCALATE,True,escalation_function_error:'<' not supported between instances of 'dict' and 'float',True,True,"The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all()."
13,Hey @AppleSupport. When are you going to update the software so my iPhone doesn’t do this - I️ every time I try to type an I?,apple_011121,other_unclear,ios_software_update,0.13229453056042728,False,,error,False,False,0,0,True,True,0.3062479532827983,0.7016,1.0,,0.0,0.0,,False,False,1,generation_error,ESCALATE,True,escalation_function_error:'<' not supported between instances of 'dict' and 'float',True,True,"The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all()."
14,Hi @AppleSupport - why does my phone no longer charge since updating to #iOS11 ? Presume you will fund a new device for me?!,apple_028365,other_unclear,battery_charging,1.0,False,,error,False,False,0,0,True,False,0.25997476391026414,0.715,1.0,no_specific_guidance,0.0,0.0,,False,False,1,generation_error,ESCALATE,True,escalation_function_error:'<' not supported between instances of 'dict' and 'float',True,True,"The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all()."
15,@AppleSupport It’s saying can’t connect to iMessage server. Try again,apple_037245,other_unclear,apple_id_icloud,0.1786030157356761,False,,error,False,False,0,0,True,False,0.4929730369919493,0.6932,0.6,no_specific_guidance,0.0,0.0,,False,False,1,generation_error,ESCALATE,True,escalation_function_error:'<' not supported between instances of 'dict' and 'float',True,True,"The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all()."
16,@AppleSupport I don’t understand why my phones keeps freezing EVERY 20 minutes and I’m not exaggerating 😕😕,apple_064137,other_unclear,app_problems,0.20451584543106527,False,,error,False,False,0,0,True,False,0.2628271554225013,0.6732,0.95,no_specific_guidance,0.0,0.0,,False,False,1,generation_error,ESCALATE,True,escalation_function_error:'<' not supported between instances of 'dict' and 'float',True,True,"The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all()."
17,"@AppleSupport why I can’t download my videos from the links, I don’t need download from YouTube 
I stop watching my movie and drama ☹️💔",apple_047435,other_unclear,app_problems,0.1931000979528574,False,,error,False,False,0,0,True,False,0.04754916082366428,0.6219,1.0,generic_response,0.0,0.0,,False,False,1,generation_error,ESCALATE,True,escalation_function_error:'<' not supported between instances of 'dict' and 'float',True,True,"The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all()."
18,@AppleSupport Other applications are the same. Horizontal position is problematic.,apple_008359,other_unclear,screen_display,0.2442506874275374,False,,error,False,False,0,0,True,False,0.30167114915920884,0.5684,0.93,domain_mismatch,0.0,0.0,,False,False,1,generation_error,ESCALATE,True,escalation_function_error:'<' not supported between instances of 'dict' and 'float',True,True,"The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all()."
19,@AppleSupport @115850 7/n the person asked me to deposit my device for 4-5days to service the device on heating issue. This is 2017 AD and not BC.,apple_004476,other_unclear,device_hardware,0.21253477746780197,False,,error,False,False,0,0,True,False,0.04802833120832051,0.562,0.85,domain_mismatch,0.0,0.0,,False,False,1,generation_error,ESCALATE,True,escalation_function_error:'<' not supported between instances of 'dict' and 'float',True,True,"The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all()."
20,Mi iPhone 7 Plus presenta algunos problemas con App que se cierran u demoran para responder abrir la app que presiono. @119459 @119460 @624212 @AppleSupport @115858,apple_077977,other_unclear,app_problems,0.21102213368651335,False,,error,False,False,0,0,True,False,0.2424753993588046,0.6456,0.75,domain_mismatch,0.0,0.0,,False,False,1,generation_error,ESCALATE,True,escalation_function_error:'<' not supported between instances of 'dict' and 'float',True,True,"The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all()."
21,"Dear @115858, 

I am still patiently waiting for the day I can delete these apps I've #never used. 

Sincerely, me. https://t.co/9P2vBfYiHU",apple_060715,other_unclear,other_unclear,0.13758404365369298,True,,error,False,False,0,0,True,False,0.34342607199157954,0.6009,1.0,domain_mismatch,0.0,0.0,,False,False,1,generation_error,ESCALATE,True,escalation_function_error:'<' not supported between instances of 'dict' and 'float',True,True,"The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all()."
22,@679441 @115858 @AppleSupport can you help with this guys ?,apple_013694,other_unclear,other_unclear,0.13960686300956152,True,,error,False,False,0,0,True,False,0.7614604151117037,0.6804,0.75,domain_mismatch,0.0,0.0,,False,False,1,generation_error,ESCALATE,True,escalation_function_error:'<' not supported between instances of 'dict' and 'float',True,True,"The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all()."
23,@AppleSupport unable to download music/install apps on iPad for months. Asks for me to use verification code from iPhone but doesn't work?,apple_004192,other_unclear,app_store_downloads,1.0,False,,error,False,False,0,0,True,False,0.2416865153324662,0.6092,0.95,domain_mismatch,0.0,0.0,,False,False,1,generation_error,ESCALATE,True,escalation_function_error:'<' not supported between instances of 'dict' and 'float',True,True,"The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all()."
24,"Hi @AppleSupport, for a month now my camera settings keep resetting to whatever they want, even though my ‘Preserve Settings’ are all on. 🙄 https://t.co/oRa4rLmYuN",apple_053343,other_unclear,device_hardware,1.0,False,,error,False,False,0,0,True,False,0.2197780042521635,0.6649,1.0,no_specific_guidance,0.0,0.0,,False,False,1,generation_error,ESCALATE,True,escalation_function_error:'<' not supported between instances of 'dict' and 'float',True,True,"The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all()."
25,@AppleSupport I think that did it- thank you!,apple_015117,other_unclear,other_unclear,0.14644374398525087,True,You're welcome! Glad to hear that helped.,resolved_acknowledgement,False,False,0,0,True,False,0.8689575490229083,0.7322,1.0,domain_mismatch,0.8689575490229083,1.0,,True,True,0,,HANDLE,False,escalation_function_error:'<' not supported between instances of 'dict' and 'float',False,False,
26,Is anyone else’s iPhone making a high pitched alarm noise? It sounds like a smoke detector but from the speaker of my phone? @AppleSupport,apple_036636,other_unclear,audio_speaker,1.0,False,,error,False,False,0,0,True,False,0.09858466387216175,0.6296,0.95,domain_mismatch,0.0,0.0,,False,False,1,generation_error,ESCALATE,True,Sensitive transaction / hardware safety hazard: hardware safety hazard,True,True,"The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all()."
27,@AppleSupport I have not touched my phone to summon Siri nor anybody spoke hey Siri around.,apple_039400,other_unclear,other_unclear,0.14802234469969072,True,,error,False,False,0,0,True,False,0.2135365226423553,0.5684,1.0,domain_mismatch,0.0,0.0,,False,False,1,generation_error,ESCALATE,True,escalation_function_error:'<' not supported between instances of 'dict' and 'float',True,True,"The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all()."
28,"@116333 @AppleSupport @144811 Every time I️ connect my phone via USB this song starts, this is getting really old! Why can’t iOS remember what I was listening to last and start there? Any car, any iPhone, any iOS, Please fix this, it’s killing me! https://t.co/yxtLKBdYpn",apple_008053,other_unclear,apple_music_itunes,1.0,False,,error,False,False,0,0,True,False,0.11859721796823003,0.6546,1.0,domain_mismatch,0.0,0.0,,False,False,1,generation_error,ESCALATE,True,escalation_function_error:'<' not supported between instances of 'dict' and 'float',True,True,"The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all()."
29,@AppleSupport after updating to iOS 11.1 battery indicator for Bluetooth speakers or headphones are not shown!,apple_029919,other_unclear,audio_speaker,1.0,False,,error,False,False,0,0,True,False,0.245008119280072,0.6863,1.0,domain_mismatch,0.0,0.0,,False,False,1,generation_error,ESCALATE,True,escalation_function_error:'<' not supported between instances of 'dict' and 'float',True,True,"The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all()."
30,@AppleSupport It pops up every time I look at my phone after I come out of the subway. Global setting? I just installed iOS and haven’t looked at new features yet but I wish default wasn’t to bother me repeatedly,apple_013394,other_unclear,ios_software_update,1.0,False,,error,False,False,0,0,True,False,0.1323047052332796,0.5481,1.0,domain_mismatch,0.0,0.0,,False,False,1,generation_error,ESCALATE,True,escalation_function_error:'<' not supported between instances of 'dict' and 'float',True,True,"The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all()."
31,"So @115858 when are yall gunna fix this update, because if my phone freezes for 2 mins while im in traffic ONE MORE TIME !!!!!!",apple_050218,other_unclear,device_hardware,0.2009440230861219,False,,error,False,False,0,0,True,False,0.33647700632935107,0.6766,0.8,no_specific_guidance,0.0,0.0,,False,False,1,generation_error,ESCALATE,True,escalation_function_error:'<' not supported between instances of 'dict' and 'float',True,True,"The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all()."
32,When listening to music on my @115858 phone why does it stop when I go into @917 🤔,apple_001982,other_unclear,apple_music_itunes,1.0,False,,error,False,False,0,0,True,False,0.3071448864085561,0.6868,1.0,no_specific_guidance,0.0,0.0,,False,False,1,generation_error,ESCALATE,True,escalation_function_error:'<' not supported between instances of 'dict' and 'float',True,True,"The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all()."
33,@AppleSupport secured #iPhoneX at launch but ONLY w/a select carrier. Yet was told by Apple #Retail I could buy SIM-free like iPhone8. How? https://t.co/l4TpVlz0dE,apple_040015,other_unclear,calls_cellular,1.0,False,,error,False,False,0,0,True,False,0.1900920554821748,0.688,0.68,domain_mismatch,0.0,0.0,,False,False,1,generation_error,ESCALATE,True,escalation_function_error:'<' not supported between instances of 'dict' and 'float',True,True,"The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all()."
34,@115858 when are you going to fix this bug because am getting really annoyed. About to leave apple and return to droid.,apple_036589,other_unclear,app_problems,0.19027031163341246,False,,error,False,False,0,0,True,False,0.4349352340353651,0.6037,0.95,domain_mismatch,0.0,0.0,,False,False,1,generation_error,ESCALATE,True,escalation_function_error:'<' not supported between instances of 'dict' and 'float',True,True,"The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all()."
35,@AppleSupport I think I found the answer: I can't pre-order iPhone X SIM-free at this time. I'm not sure when Apple will allow it. Thanks tho https://t.co/SICYUgzEPL,apple_022603,other_unclear,calls_cellular,1.0,False,You're welcome! Glad to hear that helped.,resolved_acknowledgement,False,False,0,0,True,True,0.055789034451164767,0.7514,1.0,,0.055789034451164767,1.0,,True,True,0,,HANDLE,False,escalation_function_error:'<' not supported between instances of 'dict' and 'float',False,False,
36,"My phone isn't downloading apps its always says ""waiting"" ben that way for days anyone know what I can do? @AppleSupport",apple_019826,other_unclear,app_problems,0.19424523435745622,False,,error,False,False,0,0,True,False,0.10090981261136227,0.5652,1.0,domain_mismatch,0.0,0.0,,False,False,1,generation_error,ESCALATE,True,escalation_function_error:'<' not supported between instances of 'dict' and 'float',True,True,"The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all()."
37,@AppleSupport Done!,apple_071137,other_unclear,other_unclear,0.14481014801943634,True,,error,False,False,0,0,True,False,0.5350640800023234,0.6418,0.93,domain_mismatch,0.0,0.0,,False,False,1,generation_error,ESCALATE,True,escalation_function_error:'<' not supported between instances of 'dict' and 'float',True,True,"The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all()."
38,@167325 @AppleSupport It’s the worst....wish I could downgrade 😂,apple_072568,other_unclear,ios_software_update,0.13503899039256015,False,,error,False,False,0,0,True,False,0.5096178233451715,0.7549,1.0,domain_mismatch,0.0,0.0,,False,False,1,generation_error,ESCALATE,True,escalation_function_error:'<' not supported between instances of 'dict' and 'float',True,True,"The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all()."
39,@AppleSupport hi so I got an email my account was locked. But I’m pretty sure it was a fake.,apple_063145,other_unclear,apple_id_icloud,0.19424067006415763,False,,error,False,False,0,0,True,False,0.3197722002702187,0.7204,0.68,no_specific_guidance,0.0,0.0,,False,False,1,generation_error,ESCALATE,True,escalation_function_error:'<' not supported between instances of 'dict' and 'float',True,True,"The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all()."
