tweet_id,text,candidate_group,bulk_intent,bulk_notes,label_status,conversation_id,created_at
721328,@AppleSupport @115858 Facing some Wifi Issues on Iphone 6S  Ios 11. Wifi runs even after switch off in control center...,ios_software_update,wifi_connectivity,bulk classification based on message content.,bulk_labeled,apple_053918,Fri Oct 06 11:02:13 +0000 2017
2280937,@AppleSupport Periodic (30s -2m) skips in audio when connected through BT. Lose about 1s of audio each time. Happening with both Spotify and Audible so not app specific.,audio_speaker,apple_music_itunes,bulk classification based on message content.,bulk_labeled,apple_006404,Sat Nov 11 22:46:57 +0000 2017
621809,Porque caralhos o IOS 11 fica ativando o wifi sozinho quando eu desligo? Arruma isso @AppleSupport https://t.co/YRjKjTKf59,ios_software_update,wifi_connectivity,bulk classification based on message content.,bulk_labeled,apple_007232,Wed Oct 04 11:02:40 +0000 2017
2004187,I️ updated my iOS and I️ have a shit ton of emojis now but my @231586 charger doesn’t work anymore so I️ regret it 😒 @115858,other_unclear,battery_charging,bulk classification based on message content.,bulk_labeled,apple_004701,Fri Nov 03 21:20:30 +0000 2017
2286110,@115858 why did the update make my phone slower &amp; other issues? I don’t like it.,other_unclear,ios_software_update,bulk classification based on message content.,bulk_labeled,apple_031263,Sat Nov 11 12:27:38 +0000 2017
1978681,"@115858 @applesupport There is no damn way, my storage is full. I barely have anything on my phone.",app_problems,other_unclear,no clear intent signal.,bulk_labeled,apple_027819,Tue Oct 31 19:21:25 +0000 2017
2787830,"@AppleSupport Hi can you help, this error message is all over my Apple Music, it’s only happened since I updated to IOS11.1.2 last night ☹️can’t download or see new music! https://t.co/4Up6wLUKx8",app_store_downloads,apple_music_itunes,bulk classification based on message content.,bulk_labeled,apple_023273,Tue Nov 21 19:12:37 +0000 2017
36626,"@AppleSupport Hi there, my iPhone 6S plus can’t do backup for it, not by iCloud and iTunes , any way to fix it ,thanks https://t.co/XYyWJe7vn7",apple_id_icloud,apple_music_itunes,bulk classification based on message content.,bulk_labeled,apple_019623,Wed Nov 01 14:05:18 +0000 2017
2744256,@AppleSupport I waited 50 mins for fixing a broken EarPod at the Apple Store at Eaton Centre in Toronto and still no news. They told me to wait while people after me req the same service got served first. Last time it was just 10 mins during busy hours. WHY.,device_hardware,audio_speaker,bulk classification based on message content.,bulk_labeled,apple_066434,Mon Nov 20 19:05:14 +0000 2017
2508168,@115858 @AppleSupport I️ want you to fix my I️ phone so I️ can write things with my Installed keyboard that make sense.,app_store_downloads,other_unclear,no clear intent signal.,bulk_labeled,apple_028711,Wed Nov 15 21:10:09 +0000 2017
1281436,"@AppleSupport Wow, your inability to answer a simple question and the run around you are giving a customer is unacceptable. Why don’t you ask them?",device_hardware,calls_cellular,bulk classification based on message content.,bulk_labeled,apple_002064,Thu Oct 26 18:41:56 +0000 2017
2478965,@AppleSupport The volume control doesn't work on an iPhone6 but that's not really the problem. The issue is my music starts to skip every time I connect my earphones and only stops when I fiddle with the volume control (and cuts out). It doesn't skip sound on an iphone 6,audio_speaker,apple_music_itunes,bulk classification based on message content.,bulk_labeled,apple_049807,Thu Nov 16 12:27:48 +0000 2017
250084,@AppleSupport when I go to purchase Apple Music I put in my password and says I cannot connect to iTunes Store,app_store_downloads,apple_music_itunes,bulk classification based on message content.,bulk_labeled,apple_001420,Thu Oct 05 08:01:57 +0000 2017
112811,"@AppleSupport 5 Times a day my phone says “no sim” &amp; I have to restart it to make it go away, do I need a new phone https://t.co/f48jvdz33b",device_hardware,calls_cellular,bulk classification based on message content.,bulk_labeled,apple_056149,Thu Nov 23 17:31:29 +0000 2017
2299407,@AppleSupport my son is being exposed to inappropriate ads in ad supported kid's games we download from the Apple Store. How can I prevent this?,app_store_downloads,app_problems,bulk classification based on message content.,bulk_labeled,apple_021948,Sun Nov 12 08:19:04 +0000 2017
2212785,@AppleSupport Well when I play this game on my phone everytime I get a text in the middle of the game i pull the text down and then my phone glitches and freezes I need to get this freeze/glitch fixed asap please and thank you,other_unclear,app_problems,bulk classification based on message content.,bulk_labeled,apple_035290,Fri Nov 10 03:54:22 +0000 2017
361427,@AppleSupport I've been into store and unfortunately the graphics card has failed :(,app_problems,other_unclear,no clear intent signal.,bulk_labeled,apple_077782,Sun Oct 08 15:09:24 +0000 2017
2350767,@679441 @115858 @AppleSupport can you help with this guys ?,app_problems,other_unclear,no clear intent signal.,bulk_labeled,apple_013694,Mon Nov 13 16:50:55 +0000 2017
165793,@AppleSupport And are people trying to hack my account?,apple_id_icloud,other_unclear,no clear intent signal.,bulk_labeled,apple_060219,Fri Nov 24 20:06:11 +0000 2017
1176327,@115990 There's a worm: I just lost a whole week of work because key texts between two Verizon iOS 11 devices showed up an hour late. @AppleSupport,device_hardware,ios_software_update,bulk classification based on message content.,bulk_labeled,apple_056960,Wed Oct 25 00:27:33 +0000 2017
2493875,@AppleSupport @711889 It happened to me and a few friends also,app_problems,other_unclear,no clear intent signal.,bulk_labeled,apple_047661,Wed Nov 15 18:39:34 +0000 2017
810174,@AppleSupport unable to download music/install apps on iPad for months. Asks for me to use verification code from iPhone but doesn't work?,apple_music_itunes,app_store_downloads,bulk classification based on message content.,bulk_labeled,apple_004192,Sun Oct 08 10:27:38 +0000 2017
1475416,"@AppleSupport with touchscreen. After updating to IOS11, all in a sudden my touchscreen stopped working.I then had to press power button + home to restart",screen_display,battery_charging,bulk classification based on message content.,bulk_labeled,apple_029257,Fri Nov 03 02:59:52 +0000 2017
1709313,"Ima be honest @AppleSupport this update was worse than iOS8, my apps are crashing shit is going black it’s starting to look android-esk",ios_software_update,app_problems,bulk classification based on message content.,bulk_labeled,apple_000965,Tue Nov 07 00:20:47 +0000 2017
1828303,@AppleSupport my apps keep crashing! Especially Instagram and Snapchat. Is there something wrong with the app or software.,ios_software_update,app_problems,bulk classification based on message content.,bulk_labeled,apple_016518,Tue Oct 17 06:26:45 +0000 2017
1643279,@AppleSupport How do I allow no password for already purchased apps but require a password for any new apps (even free) in the App Store?,apple_id_icloud,app_store_downloads,bulk classification based on message content.,bulk_labeled,apple_013282,Sun Nov 05 22:44:59 +0000 2017
2114692,"@AppleSupport I'm very much connected to the internet, something up? https://t.co/9dTvBTnoXR",wifi_connectivity,other_unclear,no clear intent signal.,bulk_labeled,apple_073727,Wed Nov 08 04:18:32 +0000 2017
2817191,"@AppleSupport I have a MacBook Air, and awhile ago, when I sign-in to my computer, it would of make a sound. It doesn't anymore. How can I get it back on?",other_unclear,audio_speaker,bulk classification based on message content.,bulk_labeled,apple_065166,Mon Nov 27 04:02:51 +0000 2017
1400546,@AppleSupport I have a second MBP that is failing when doing the HighSierra upgrade. Really? We’re doing this again?,app_problems,ios_software_update,bulk classification based on message content.,bulk_labeled,apple_037424,Sat Nov 25 10:41:30 +0000 2017
2199218,"@AppleSupport i am still getting the black, freeze screen and battery life is at an all time low with new ios.  Update please!!!!!!!",screen_display,battery_charging,bulk classification based on message content.,bulk_labeled,apple_076861,Thu Oct 19 11:12:38 +0000 2017
2837178,"@AppleSupport Hi, I have an issue where I have set my Calendar app on Mac to start week on Monday but it randomly changes to start week on Sunday and I have to keep changing it back, can you please advise a fix?",other_unclear,device_hardware,bulk classification based on message content.,bulk_labeled,apple_072786,Mon Nov 27 14:17:54 +0000 2017
