metric,value
examples_requested,50
examples_processed,50
successful_judgments,50
failed_judgments,0
success_rate,1.0
examples_judged,50
judge_failures,0
judge_success_rate,1.0
provider,groq
model,openai/gpt-oss-20b
average_correctness,1.38
average_groundedness,2.28
average_relevance,1.86
average_completeness,1.28
average_tone,4.08
average_unsupported_claims,4.28
average_overall_score,2.5272
average_escalation_appropriateness,2.4
unsupported_claims_detected_count,10
overall_score_dist_1_star_count,4
overall_score_dist_2_star_count,28
overall_score_dist_3_star_count,11
overall_score_dist_4_star_count,6
overall_score_dist_5_star_count,1
